scenario,model,galaxy,N_points,success,message,optimisation_starts,successful_starts,best_start_index,profile_objective_start_spread,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,RAR,D512-2,4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,7,4.598543767997398e-13,1.1803231200365574,0.3895911379875378,0.7907319820490196,-0.13488324316504804,-0.8365180480593403,0.8738179299480789,-0.07540289173831918,0.9273697814289951,-0.07540289173831918,0.9273697814289951,0.0,0.0,56.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,D512-2,4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,6,5.38680211548126e-13,1.279518498229812,0.41168356585254806,0.8678349323772641,-0.14708630977284964,-0.8771949367520123,0.8632194699246347,-0.07840757907956714,0.9245875072113714,-0.07840757907956714,0.9245875072113714,0.0,0.0,56.0,0.0,1.0
baseline,RAR,D564-8,6,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,3,1.6342482922482304e-13,12.427941619898633,9.974500928368181,2.453440691530452,-0.024383826873769072,-0.7654779936443933,0.975911056971531,-0.3416398078364667,0.7106041126511443,-0.3416398078364667,0.7106041126511443,0.0,0.0,63.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,D564-8,6,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,6,5.009326287108706e-13,13.271940851839855,10.618397595237846,2.6535432566020085,-0.02551856733027786,-0.8011007386897941,0.9748042792847005,-0.3545931527004465,0.7014587717691019,-0.3545931527004465,0.7014587717691019,0.0,0.0,63.0,0.0,1.0
baseline,RAR,D631-7,16,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,8,1.4691181604575831e-10,75.5936842919451,66.96135805342081,8.632326238524287,-0.042577490191126784,-1.4192496730375594,0.9583162025379631,-0.6431395943002512,0.5256395358109106,-0.6431395943002512,0.5256395358109106,0.0,0.0,59.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,D631-7,16,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,10,2.6261659513693303e-11,74.52987945426878,65.75771742702548,8.7721620272433,-0.04292645958524021,-1.4308819861746738,0.9579818378583075,-0.6483025320444596,0.5229326852748226,-0.6483025320444596,0.5229326852748226,0.0,0.0,59.0,0.0,1.0
baseline,RAR,DDO064,14,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,2,4.2810199829546036e-13,2.8188855314488817,2.708698255008067,0.11018727644081441,0.021682004603010036,-0.31463388883248,1.0219187673320909,-0.0264489986093106,0.9738977127066708,-0.0264489986093106,0.9738977127066708,0.0,0.0,60.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO064,14,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,1,5.595524044110789e-13,2.8516883442221124,2.732634782821184,0.11905356140092835,0.02038779948621957,-0.31894790588844824,1.020597050305421,-0.032906871176759875,0.9676286695123765,-0.032906871176759875,0.9676286695123765,0.0,0.0,60.0,0.0,1.0
baseline,RAR,DDO161,31,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,6,7.389644451905042e-13,23.681687627263855,17.0011795834277,6.680508043836156,-0.40185349396692793,-1.7264188840656067,0.6690787625854573,-0.48088368399865034,0.6182368243561938,-0.48088368399865034,0.6182368243561938,0.0,0.0,70.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,DDO161,31,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,11,4,8.682832230988424e-12,23.26610390385692,16.565624735771625,6.700479168085294,-0.4026488649526511,-1.7290701206846837,0.6685468083290674,-0.48158564177625424,0.6178030004897681,-0.48158564177625424,0.6178030004897681,0.0,0.0,70.0,0.0,1.0
