Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1
CamB,2,3.36,True,73.28081062,67.09836951,76.74686894820753,14.423159970658913,True,coordinate_velocity,False,PGC166084,166084,166084,0.07108362848750739,1.2531310517924652,78.0,279.0,1.0,0.0,0.0,0.0,10.053,,3.5,0.048,0.0,10.591,1.6069233577205797,32405.0
D512-2,2,15.2,True,218.334625,26.99802778,834.9220015258492,67.35314693037694,True,coordinate_velocity,False,PGC087128,87128,87128,0.0700876776626685,1.9220015258491685,833.0,893.0,1.0,0.0,0.0,0.0,10.621,,,0.075,0.0,11.19,2.975510922647281,65330.0
D564-8,2,8.79,True,135.7237015,20.07535018,483.26545728562286,37.598752380929554,True,coordinate_velocity,False,PGC086668,86668,86668,0.0829255222697885,0.2654572856228583,483.0,380.0,1.0,0.0,0.0,0.0,9.786,,8.83,0.039,0.0,10.53,5.183538015131946,54607.0
D631-7,1,7.72,True,119.2575,14.390833,340.864024746,20.897389411860267,True,name_coordinate_velocity,False,UGC04115,22277,22277,0.08774999099469774,2.135975254000016,343.0,227.0,1.0,0.0,0.0,0.0,10.223,,7.87,0.055,0.0,10.978,9.22546090383083,49353.0
DDO064,1,6.8,True,147.5933333,31.48777778,512.9448926400754,50.56269215229525,True,name_coordinate_velocity,False,UGC05272,28317,28317,0.004968093323364309,8.055107359924591,521.0,477.0,2.0,1.0,0.6931471805599453,1.0,10.509,8.48,,0.068,0.0,10.776,3.1476778939149055,56959.0
DDO154,2,4.04,True,193.521875,27.14963889,363.948044012,89.41014371695222,True,name_coordinate_velocity,False,NGC4789A,43869,43869,0.03356900293843185,10.051955987999975,374.0,368.0,1.0,0.0,0.0,0.0,10.391,,,0.063,0.0,12.265,16.409035438565954,140880.0
DDO161,1,7.5,True,195.81975,-17.42302778,741.98633355,45.35625241335548,True,coordinate_velocity,False,PGC045084,45084,45084,0.011511638746355708,2.0136664499999597,744.0,549.0,2.0,1.0,0.6931471805599453,1.0,10.992,9.004,6.19,0.099,0.0,11.937,16.550280636417465,140806.0
DDO168,2,4.25,True,198.6088551,45.92493988,191.86717312,70.65718303228816,True,name_coordinate_velocity,False,UGC08320,46039,46039,0.4754364481123761,1.1328268800000103,193.0,287.0,6.0,5.0,1.791759469228055,1.0,10.666,11.791,4.36,0.077,0.0,10.23,18.050157051957136,63000.0
DDO170,2,15.4,True,198.9743336,25.4355594,941.048525662,84.26272999109034,True,name_coordinate_velocity,False,UGC08333,46159,4362343,0.033915568661260324,0.048525661999974545,941.0,940.0,2.0,1.0,0.6931471805599453,1.0,10.82,10.746,21.28,0.087,0.0,12.265,12.158813547753025,140880.0
ESO079-G014,1,28.7,True,15.7143121,-65.6100396,2306.303379394,51.476235028756314,True,name_coordinate_velocity,False,NGC0360,3743,3743,0.0023948392328595343,9.303379393999876,2297.0,2126.0,1.0,0.0,0.0,0.0,12.149,,30.9,0.241,0.0,11.507,2.47464494978212,20294.0
ESO116-G012,1,13.0,True,48.2699788,-57.3569769,1146.1065669339998,50.82510401456708,True,coordinate_velocity,False,ESO116-012,11984,11984,0.011660605784249073,7.893433066000171,1154.0,959.0,1.0,0.0,0.0,0.0,11.161,,15.35,0.113,0.0,11.438,2.4588577531003897,2807080.0
ESO444-G084,2,4.83,True,204.3329122,-28.044124,586.993632764,33.73916333356121,True,coordinate_velocity,False,ESO444-084,48111,48082,0.10577375117276325,0.00636723599996003,587.0,381.0,13.0,12.0,2.5649493574615367,1.0,12.248,12.587,4.8,0.26,0.0,10.292,6.82034280156298,64054.0
ESO563-G021,1,60.8,True,131.8208428,-20.0356573,4579.030123408983,14.397419005175207,False,unmatched,False,ESO563-017,24558,24558,43.28964747189858,1035.030123408983,3544.0,3274.0,,,,,,,,,,,,
F563-1,1,48.9,True,133.78004,19.750685,3491.9999987050555,35.76810550771136,True,coordinate_velocity,False,PGC086613,86613,86613,0.019034500911097478,3.000001294944468,3495.0,3392.0,1.0,0.0,0.0,0.0,11.1,,,0.108,0.0,10.744,8.675970599217324,1416100.0
F563-V2,1,59.7,True,133.2660053,18.4359629,4310.116108707508,34.857381244354904,False,unmatched,False,PGC086613,86613,86613,84.11200038308037,815.1161087075079,3495.0,3392.0,,,,,,,,,,,,
F565-V2,2,51.8,True,144.3745,21.76122222,3680.851769344754,45.8001018391743,False,unmatched,False,UGC05086,27115,27077,67.68899132944225,3189.851769344754,491.0,393.0,,,,,,,,,1.0986122886681098,11.99,4.471726124352216,56023.0
F568-1,1,90.7,True,156.5264065,22.4335689,6524.083590912983,56.79466976538716,False,unmatched,False,UGC05672,30818,30818,32.16164186722965,5993.083590912983,531.0,443.0,,,,,,,,,,,,
F568-3,1,82.4,True,156.8343651,22.2401039,5911.008014302983,57.01604087200722,False,unmatched,False,UGC05672,30818,30818,24.29630282099343,5380.008014302983,531.0,443.0,,,,,,,,,,,,
F568-V1,1,80.6,True,161.2586211,22.0542249,5779.6367407431935,60.89965393524749,False,unmatched,False,SDSSJ104436.57+212217.3,4250145,4250145,41.38840942116952,3010.6367407431935,2769.0,2678.0,,,,,,,,,,,,
F571-8,1,53.3,True,173.479706,19.359974,3767.000001164877,70.60426791770476,False,unmatched,False,PGC1598409,1598409,1598409,16.597259507553375,2359.000001164877,1408.0,1323.0,,,,,,,,,0.0,11.489,3.769025095702309,60924.0
F571-V1,2,80.1,True,171.57949,18.835923,5706.403139310496,68.76672629698353,False,unmatched,False,PGC166111,166111,166111,45.650927730789206,3812.403139310496,1894.0,1804.0,,,,,,,,,,,,
F574-1,1,96.8,True,189.5292277,22.3136459,6888.931072257475,84.3147468055875,False,unmatched,False,SDSSJ123758.17+240238.6,4334931,4334931,103.84111331585822,5484.931072257475,1404.0,1373.0,,,,,,,,,,,,
F579-V1,1,89.5,True,218.2077111,22.7614452,6294.142775626983,66.64757420901131,False,unmatched,False,PGC2801017,2801017,50961,79.640628813544,6294.142775626983,0.0,0.0,,,,,,,,,,,,
F583-1,1,35.4,True,239.3647679,20.6665745,2265.737862317104,47.229450571444254,True,coordinate_velocity,False,PGC086657,86657,86657,0.018976448960690753,0.26213768289608197,2266.0,2368.0,1.0,0.0,0.0,0.0,10.829,,,0.087,0.0,10.826,5.094303086481415,68046.0
F583-4,1,53.3,True,238.0389771,18.7979601,3644.372453449644,47.80068010658938,False,unmatched,False,UGC10044,56105,56105,61.58885577224372,329.3724534496441,3315.0,3399.0,,,,,,,,,0.0,11.384,11.890424055738018,87269.0
IC2574,2,3.91,True,157.0972782,68.4121591,56.96056881875474,43.607037423188366,True,name_coordinate_velocity,False,IC2574,30819,28630,0.12916678143187815,13.960568818754737,43.0,199.0,41.0,40.0,3.713572066704308,1.0,12.63,12.436,3.65,0.349,0.0,10.27,3.388859534632589,59410.0
IC4202,1,100.4,True,197.1316527,24.7007982,7122.999999710888,85.45544407645738,False,unmatched,False,UGC08249,45705,45705,29.207236497441556,4579.999999710888,2543.0,2536.0,,,,,,,,,,,,
KK98-251,2,6.8,True,307.6370833,60.35472222,125.9128314606226,12.228158780494564,True,coordinate_velocity,False,PGC166192,166192,65001,0.05577672815968818,4.0871685393774015,130.0,439.0,7.0,6.0,1.9459101490553132,1.0,12.068,12.246,6.23,0.227,2.0794415416798357,12.69,1.3579622083746654,9892.0
NGC0024,1,7.3,True,2.485281,-24.963219,554.016462384,80.43454410737188,True,name_coordinate_velocity,False,NGC0024,701,701,0.04358628577342159,9.016462383999965,545.0,586.0,1.0,0.0,0.0,0.0,11.236,,7.87,0.12,0.0,10.81,3.3770125915697675,18583.0
NGC0055,2,2.11,True,3.723345,-39.196571,130.9999999971282,75.73095925147447,True,name_coordinate_velocity,False,NGC0055,1014,1014,0.002721388356109382,1.9999999971282136,129.0,95.0,2.0,1.0,0.6931471805599453,1.0,11.161,10.695,1.99,0.113,0.0,10.086,13.148980872412228,19041.0
NGC0100,1,13.5,True,6.012434167,16.48711778,843.9157692699999,45.88140348414576,True,name_coordinate_velocity,False,NGC0100,1525,1525,0.06032309268097102,2.9157692699999416,841.0,1056.0,1.0,0.0,0.0,0.0,11.173,,18.54,0.114,0.0,11.888,3.166048158267319,3097156.0
NGC0247,2,3.7,True,11.785301,-20.760195,173.9999999865739,83.5568351807158,True,name_coordinate_velocity,False,NGC0247,2758,2789,0.02554223233323731,17.999999986573897,156.0,198.0,4.0,3.0,1.3862943611198906,1.0,12.775,12.714,3.49,0.39,0.0,10.316,5.648031883696604,19337.0
NGC0289,2,20.8,True,13.176134,-31.2058643,1629.0722167719998,85.91303154583862,True,name_coordinate_velocity,False,NGC0289,3089,3089,0.019174769120193082,0.07221677199981968,1629.0,1616.0,11.0,10.0,2.3978952727983707,1.0,12.568,12.835,23.33,0.332,0.0,11.623,1.63915534716003,19733.0
NGC0300,2,2.08,True,13.722702,-37.684212,147.19999999050262,79.41906923014925,True,name_coordinate_velocity,False,NGC0300,3238,3238,0.025607578833263506,3.1999999905026186,144.0,99.0,1.0,0.0,0.0,0.0,10.868,,1.99,0.09,0.0,10.316,12.221235942809932,19337.0
NGC0801,1,80.7,True,30.9366465,38.2587886,5767.107514546,22.457089038790947,False,unmatched,False,PGC007107,7107,7107,174.18942078332387,2908.107514546,2859.0,3075.0,,,,,,,,,,,,
NGC0891,1,9.91,True,35.63711,42.34832,527.934518538,17.415246823679357,True,name_coordinate_velocity,False,NGC0891,9031,9031,0.13619514348771794,0.06548146199997973,528.0,742.0,2.0,1.0,0.6931471805599453,1.0,12.624,11.305,9.12,0.347,0.0,10.425,1.2041472536750184,23769.0
NGC1003,1,11.4,True,39.820784,40.8725757,623.868105098,17.544655678544906,True,name_coordinate_velocity,False,NGC1003,10052,10052,0.07311521825434594,2.131894901999999,626.0,826.0,1.0,0.0,0.0,0.0,11.314,,11.02,0.127,0.0,10.425,2.2540054089600763,23769.0
NGC1090,1,37.0,True,41.6415417,-0.2471141,2740.312021463226,51.44369668790538,True,name_coordinate_velocity,False,NGC1090,10507,10507,0.008543908677466386,0.3120214632258467,2740.0,2785.0,5.0,4.0,1.6094379124341003,1.0,12.33,11.394,29.65,0.277,0.0,10.833,1.1703443980229133,1152929.0
