test,fold,N_train,N_test,environment_coefficient_standardised
primary_10_40_mpc__combined__group_richness,1,58,7,-0.0019871738424218177
primary_10_40_mpc__combined__group_richness,2,58,7,-0.0043387168738233265
primary_10_40_mpc__combined__group_richness,3,58,7,-0.002726666268511917
primary_10_40_mpc__combined__group_richness,4,58,7,-0.0023073080832731276
primary_10_40_mpc__combined__group_richness,5,58,7,0.00040336970829195167
primary_10_40_mpc__combined__group_richness,6,59,6,0.003992074885372188
primary_10_40_mpc__combined__group_richness,7,59,6,-0.0018192927304895882
primary_10_40_mpc__combined__group_richness,8,59,6,-0.0030055721952846623
primary_10_40_mpc__combined__group_richness,9,59,6,-0.0014886631685020345
primary_10_40_mpc__combined__group_richness,10,59,6,-0.0017206503767719567
near_5_40_mpc__combined__group_richness,1,86,10,-0.0013911315630174973
near_5_40_mpc__combined__group_richness,2,86,10,-0.0020700891352509456
near_5_40_mpc__combined__group_richness,3,86,10,-0.0005830281518236478
near_5_40_mpc__combined__group_richness,4,86,10,-0.0013522790131195808
near_5_40_mpc__combined__group_richness,5,86,10,-0.0025902791674368418
near_5_40_mpc__combined__group_richness,6,86,10,-0.002141562582946638
near_5_40_mpc__combined__group_richness,7,87,9,-0.0020055168837667774
near_5_40_mpc__combined__group_richness,8,87,9,0.00218171027087252
near_5_40_mpc__combined__group_richness,9,87,9,-0.001309195745933155
near_5_40_mpc__combined__group_richness,10,87,9,-0.0015473984886792476
core_10_35_mpc__combined__group_richness,1,54,7,0.003221121060373431
core_10_35_mpc__combined__group_richness,2,55,6,0.004233179418684145
core_10_35_mpc__combined__group_richness,3,55,6,0.0042041844841643975
core_10_35_mpc__combined__group_richness,4,55,6,0.004927035228654349
core_10_35_mpc__combined__group_richness,5,55,6,0.004869874695132033
core_10_35_mpc__combined__group_richness,6,55,6,0.004831657126647421
core_10_35_mpc__combined__group_richness,7,55,6,0.004199921966408314
core_10_35_mpc__combined__group_richness,8,55,6,0.004512962418061109
core_10_35_mpc__combined__group_richness,9,55,6,0.005014209581941859
core_10_35_mpc__combined__group_richness,10,55,6,0.0032814293148235524
latitude_strict_10_40_mpc__combined__group_richness,1,54,7,-0.0006439192427800049
latitude_strict_10_40_mpc__combined__group_richness,2,55,6,0.004568124615741608
latitude_strict_10_40_mpc__combined__group_richness,3,55,6,-0.0013171813058316959
latitude_strict_10_40_mpc__combined__group_richness,4,55,6,-0.003775490133629964
latitude_strict_10_40_mpc__combined__group_richness,5,55,6,-0.0007065024225128304
latitude_strict_10_40_mpc__combined__group_richness,6,55,6,-0.004504697933682628
latitude_strict_10_40_mpc__combined__group_richness,7,55,6,-6.130443934472234e-05
latitude_strict_10_40_mpc__combined__group_richness,8,55,6,-0.000770218107388279
latitude_strict_10_40_mpc__combined__group_richness,9,55,6,0.0008091976115385354
latitude_strict_10_40_mpc__combined__group_richness,10,55,6,-0.0014620495116606574
luminous_10_40_mpc__combined__group_richness,1,38,6,-0.009995089352509064
luminous_10_40_mpc__combined__group_richness,2,38,6,-0.0006195125371974254
luminous_10_40_mpc__combined__group_richness,3,38,6,0.003285440913606701
luminous_10_40_mpc__combined__group_richness,4,38,6,-0.0024199454418952766
luminous_10_40_mpc__combined__group_richness,5,39,5,-0.0040788321351214905
luminous_10_40_mpc__combined__group_richness,6,39,5,-0.0024898914893771345
luminous_10_40_mpc__combined__group_richness,7,39,5,-0.0006271808373383837
luminous_10_40_mpc__combined__group_richness,8,39,5,-0.003524476246193208
primary_10_40_mpc__baseline__group_richness,1,58,7,-0.014402332522474817
primary_10_40_mpc__baseline__group_richness,2,58,7,-0.022256261277337878
primary_10_40_mpc__baseline__group_richness,3,58,7,-0.016449619928601306
primary_10_40_mpc__baseline__group_richness,4,58,7,-0.014921580826468592
primary_10_40_mpc__baseline__group_richness,5,58,7,-0.002798088780337099
primary_10_40_mpc__baseline__group_richness,6,59,6,0.012139809716198342
primary_10_40_mpc__baseline__group_richness,7,59,6,-0.013500512187992312
primary_10_40_mpc__baseline__group_richness,8,59,6,-0.012088215442793508
primary_10_40_mpc__baseline__group_richness,9,59,6,-0.011790414536892531
primary_10_40_mpc__baseline__group_richness,10,59,6,-0.01269101714529414
primary_10_40_mpc__combined__shifted_ra90,1,58,7,0.0012694750284000173
primary_10_40_mpc__combined__shifted_ra90,2,58,7,0.0008258229370276818
primary_10_40_mpc__combined__shifted_ra90,3,58,7,0.0011174074177586538
primary_10_40_mpc__combined__shifted_ra90,4,58,7,0.001991098702896393
primary_10_40_mpc__combined__shifted_ra90,5,58,7,0.0027149144785858876
primary_10_40_mpc__combined__shifted_ra90,6,59,6,0.0007421042648977932
primary_10_40_mpc__combined__shifted_ra90,7,59,6,0.0011126307661579722
primary_10_40_mpc__combined__shifted_ra90,8,59,6,0.0014070437267158827
primary_10_40_mpc__combined__shifted_ra90,9,59,6,0.0005037932703171633
primary_10_40_mpc__combined__shifted_ra90,10,59,6,0.0008574008084385367
primary_10_40_mpc__combined__secondary_group_mass,1,58,7,-0.0029890986387668137
primary_10_40_mpc__combined__secondary_group_mass,2,58,7,-0.006050032612940486
primary_10_40_mpc__combined__secondary_group_mass,3,58,7,-0.003483578496754845
primary_10_40_mpc__combined__secondary_group_mass,4,58,7,-0.0032236822617200903
primary_10_40_mpc__combined__secondary_group_mass,5,58,7,-0.0018318950799027546
primary_10_40_mpc__combined__secondary_group_mass,6,59,6,0.002978224333776482
primary_10_40_mpc__combined__secondary_group_mass,7,59,6,-0.0027994662558039358
primary_10_40_mpc__combined__secondary_group_mass,8,59,6,-0.0034340941180653973
primary_10_40_mpc__combined__secondary_group_mass,9,59,6,-0.0018683226477794078
primary_10_40_mpc__combined__secondary_group_mass,10,59,6,-0.0022099698224511887
primary_10_40_mpc__combined__secondary_grouped_indicator,1,58,7,0.00044010959157691256
primary_10_40_mpc__combined__secondary_grouped_indicator,2,58,7,-0.000369941712593459
primary_10_40_mpc__combined__secondary_grouped_indicator,3,58,7,8.073979718968064e-05
primary_10_40_mpc__combined__secondary_grouped_indicator,4,58,7,0.000236229267165756
primary_10_40_mpc__combined__secondary_grouped_indicator,5,58,7,0.0028715227318995545
primary_10_40_mpc__combined__secondary_grouped_indicator,6,59,6,0.0011764199456537503
primary_10_40_mpc__combined__secondary_grouped_indicator,7,59,6,0.0010777024949486192
primary_10_40_mpc__combined__secondary_grouped_indicator,8,59,6,-0.0010195109533154183
primary_10_40_mpc__combined__secondary_grouped_indicator,9,59,6,0.0010395372815310312
primary_10_40_mpc__combined__secondary_grouped_indicator,10,59,6,0.0006898609690580851
