Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1,T,D_Mpc_host,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q_host,Ref,bulge_proxy,n_points,has_bulge,frac_distance_error,log_L36,log_SBeff,log_MHI,log_Vflat,log_n_points,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
D512-2,2,15.2,True,218.334625,26.99802778,834.9220015258492,67.35314693037694,True,coordinate_velocity,False,PGC087128,87128,87128,0.0700876776626685,1.9220015258491685,833.0,893.0,1.0,0.0,0.0,0.0,10.621,,,0.075,0.0,11.19,2.975510922647281,65330.0,10,15.2,4.56,1,56.0,10.0,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0.0,0.0,0.0,2,Tr09,0.0,4,False,0.3,-0.4881166390211256,0.9647309210536293,-1.0915149811213503,-12.0,0.6020599913279624,combined_conventional,4,True,True,0.6959889348500987,0.7485625845189687,0.05257364966887,0.0131434124172175,0.0130577872276376
DDO170,2,15.4,True,198.9743336,25.4355594,941.048525662,84.26272999109034,True,name_coordinate_velocity,False,UGC08333,46159,4362343,0.0339155686612603,0.0485256619999745,941.0,940.0,2.0,1.0,0.6931471805599453,1.0,10.82,10.746,21.28,0.087,0.0,12.265,12.158813547753024,140880.0,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",0.0,8,False,0.3,-0.265200170411153,0.9726655922661109,-0.1337126609158051,1.7781512503836436,0.9030899869919435,combined_conventional,8,True,True,3.039492760743609,3.0862571531290683,0.0467643923854588,0.0058455490481823,0.0058285301174668
ESO079-G014,1,28.7,True,15.7143121,-65.6100396,2306.303379394,51.47623502875632,True,name_coordinate_velocity,False,NGC0360,3743,3743,0.0023948392328595,9.303379393999876,2297.0,2126.0,1.0,0.0,0.0,0.0,12.149,,30.9,0.241,0.0,11.507,2.47464494978212,20294.0,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,0.0,15,False,0.24982578397212543,1.7137676639043045,2.196839145833112,0.49692964807321494,2.2430380486862944,1.1760912590556813,combined_conventional,15,True,True,13.397146621180028,13.362695234695858,-0.0344513864841697,-0.0022967590989446,-0.0022941255793678
ESO116-G012,1,13.0,True,48.2699788,-57.3569769,1146.1065669339998,50.82510401456708,True,coordinate_velocity,False,ESO116-012,11984,11984,0.011660605784249,7.893433066000171,1154.0,959.0,1.0,0.0,0.0,0.0,11.161,,15.35,0.113,0.0,11.438,2.4588577531003897,2807080.0,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,0.0,15,False,0.3,0.6326597132939135,1.9568404901592336,0.034628456625320346,2.037824750588342,1.1760912590556813,combined_conventional,15,True,True,5.732045746761294,5.774453345255092,0.0424075984937974,0.0028271732329198,0.0028231842951854
F583-1,1,35.4,True,239.3647679,20.6665745,2265.737862317104,47.229450571444254,True,coordinate_velocity,False,PGC086657,86657,86657,0.0189764489606907,0.2621376828960819,2266.0,2368.0,1.0,0.0,0.0,0.0,10.829,,,0.087,0.0,10.826,5.094303086481415,68046.0,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",0.0,25,False,0.25,-0.0061230850587887945,1.04883008652835,0.32756326018727794,1.9334872878487055,1.3979400086720377,combined_conventional,25,True,True,13.28837017480838,13.114790334393335,-0.1735798404150443,-0.0069431936166017,-0.0069192006423584
NGC0100,1,13.5,True,6.012434167,16.48711778,843.9157692699999,45.88140348414576,True,name_coordinate_velocity,False,NGC0100,1525,1525,0.060323092680971,2.9157692699999416,841.0,1056.0,1.0,0.0,0.0,0.0,11.173,,18.54,0.114,0.0,11.888,3.166048158267319,3097156.0,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",0.0,21,False,0.3,0.5094713521025486,1.8128465369670712,0.29885307640970665,1.944975908412048,1.3222192947339193,combined_conventional,21,True,True,5.654148905019578,5.649396988925812,-0.0047519160937659,-0.0002262817187507,-0.0002262561209041
NGC0289,2,20.8,True,13.176134,-31.2058643,1629.0722167719998,85.91303154583862,True,name_coordinate_velocity,False,NGC0289,3089,3089,0.019174769120193,0.0722167719998196,1629.0,1616.0,11.0,10.0,2.3978952727983707,1.0,12.568,12.835,23.33,0.332,0.0,11.623,1.63915534716003,19733.0,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,0.0,28,False,0.25,1.857724390968307,3.2008313537058184,1.43884284935915,2.2121876044039577,1.4471580313422192,combined_conventional,28,True,True,20.617245572456504,21.075829445794064,0.4585838733375595,0.0163779954763414,0.0162453227572061
NGC1003,1,11.4,True,39.820784,40.8725757,623.868105098,17.544655678544906,True,name_coordinate_velocity,False,NGC1003,10052,10052,0.0731152182543459,2.131894901999999,626.0,826.0,1.0,0.0,0.0,0.0,11.314,,11.02,0.127,0.0,10.425,2.2540054089600763,23769.0,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",0.0,36,False,0.3,0.8337843746564789,2.1488185146020182,0.7693773260761385,2.040602340114073,1.5563025007672873,combined_conventional,36,True,True,14.277831076416886,13.7566170620452,-0.5212140143716848,-0.0144781670658801,-0.0143743591708144
NGC1090,1,37.0,True,41.6415417,-0.2471141,2740.312021463226,51.44369668790538,True,name_coordinate_velocity,False,NGC1090,10507,10507,0.0085439086774663,0.3120214632258467,2740.0,2785.0,5.0,4.0,1.6094379124341005,1.0,12.33,11.394,29.65,0.277,0.0,10.833,1.1703443980229131,1152929.0,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,0.0,24,False,0.25,1.8576038456946433,2.4528287182568427,0.943642882752129,2.215901813204032,1.380211241711606,combined_conventional,24,True,True,21.32781961710496,21.43735652191724,0.1095369048122805,0.0045640377005116,0.0045536540626682
NGC3198,1,13.8,True,154.979176,45.549816,660.1429925159999,54.82891185056577,True,name_coordinate_velocity,False,NGC3198,30197,30197,0.0172636973310663,6.857007484000064,667.0,703.0,1.0,0.0,0.0,0.0,11.669,,13.24,0.167,0.0,11.045,1.6207475175858506,57678.0,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",0.0,43,False,0.10144927536231883,1.582960583750715,2.2528287680405925,1.0361895887541992,2.1763806922432702,1.6334684555795864,combined_conventional,43,True,True,10.950801519128673,11.313227705219596,0.3624261860909232,0.0084285159556028,0.0083931943487017
NGC3726,2,18.0,True,173.3379772,47.0292224,864.001863956,64.87862241632861,True,name_coordinate_velocity,False,NGC3726,35676,35676,0.0117030961603482,1.9981360440000344,866.0,925.0,1.0,0.0,0.0,0.0,11.867,,13.49,0.194,0.6931471805599453,10.603,3.707379853739917,167108.0,5,18.0,2.5,4,53.0,2.0,70.234,0.388,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,"VS01,SV98",0.0,12,False,0.1388888888888889,1.8465474032654734,2.296840627340024,0.8111056070179304,2.225309281725863,1.0791812460476249,combined_conventional,12,True,True,12.136644275676089,11.933118084092662,-0.2035261915834265,-0.0169605159652855,-0.0168182922864829
