dataset,group,N,budget_kind,budget_sigma_mag,FR_residual_mode_mag,LCDM_residual_mode_mag,delta_mode_FR_minus_LCDM_mag,abs_delta_over_budget,within_budget
PantheonPlusSH0ES,IDSURVEY_1,321,primary_calibration_component,0.008075982502836906,0.00256748238499118,-0.0038003517459562607,0.0063678341309474406,0.788490332750296,True
PantheonPlusSH0ES,IDSURVEY_4,160,primary_calibration_component,0.018936388261509243,0.033025965064599275,-0.00459435415187477,0.037620319216474046,1.9866681384507945,False
PantheonPlusSH0ES,IDSURVEY_5,74,primary_calibration_component,0.019312110579827364,-0.018851802126336706,0.0158155958259621,-0.034667397952298805,1.7951118190318847,False
PantheonPlusSH0ES,IDSURVEY_10,203,primary_calibration_component,0.006936932607242753,0.009627990827606537,-0.0269551494395272,0.03658314026713374,5.273676758649464,False
PantheonPlusSH0ES,IDSURVEY_15,269,primary_calibration_component,0.006371219705925663,0.040219376112768365,0.01036275929840271,0.029856616814365654,4.686169711993606,False
PantheonPlusSH0ES,IDSURVEY_50,27,primary_calibration_component,0.02708800827015334,-0.03661218060494487,0.0018869782998562194,-0.038499158904801094,1.4212620773311346,False
PantheonPlusSH0ES,IDSURVEY_51,38,primary_calibration_component,0.009605405550494663,-0.023572069560919184,0.015931676676102395,-0.039503746237021575,4.1126578184912965,False
PantheonPlusSH0ES,IDSURVEY_56,36,primary_calibration_component,0.04456361497142021,-0.06860802596902599,-0.024523180828946486,-0.0440848451400795,0.9892564857754974,True
PantheonPlusSH0ES,IDSURVEY_57,85,primary_calibration_component,0.0038350553877342657,-0.02827263418845612,0.012501575232464665,-0.04077420942092078,10.631974065180323,False
PantheonPlusSH0ES,IDSURVEY_63,28,primary_calibration_component,0.005608021996594319,-0.026801142719533787,0.012087859679647827,-0.03888900239918161,6.934531002695498,False
PantheonPlusSH0ES,IDSURVEY_64,53,primary_calibration_component,0.0032152294240378886,-0.047675472273420144,-0.010865470815630765,-0.03681000145778938,11.448639149227818,False
PantheonPlusSH0ES,IDSURVEY_65,35,primary_calibration_component,0.005972385432563947,-0.03613163881920752,0.0006368966081821902,-0.03676853542738971,6.156423734294217,False
PantheonPlusSH0ES,IDSURVEY_150,173,primary_calibration_component,0.015025722885243507,-0.020716024256565824,0.010787033469216932,-0.031503057725782754,2.096608460463579,False
DES_Dovekie_raw,IDSURVEY_10,1623,release_all_systematics_upper_bound,0.011766741997148049,0.007208683404479952,-0.002974668578297747,0.0101833519827777,0.8654351378865857,True
DES_Dovekie_raw,IDSURVEY_64,31,release_all_systematics_upper_bound,0.012457391087084598,-0.028441418463248675,0.027321784001461128,-0.0557632024647098,4.476314669330981,False
DES_Dovekie_raw,IDSURVEY_65,22,release_all_systematics_upper_bound,0.023063874479079774,-0.04595315815194296,0.011550132895026054,-0.05750329104696901,2.4932190425822736,False
DES_Dovekie_raw,IDSURVEY_150,117,release_all_systematics_upper_bound,0.019676396618983773,-0.014401679255336015,0.04047843382023717,-0.05488011307557319,2.7891343185583533,False
