dataset,level,group,N,component_kind,covariance_role,budget_kind,sigma_projected_mag,projected_variance_raw_mag2,sigma_documented_mag,sigma_included_mag,sigma_add_mag,sigma_hierarchy_mag,additive_prior,prior_action,explicit_base,explicit_prior_role,source_path,note
DES_Dovekie_raw,dataset,ALL,1820,all_systematics_covariance_upper_bound,contained_in_STAT+SYS,release_all_systematics_upper_bound,0.010424704797587364,0.000108674470116841,,0.010424704797587364,0.0,0.0,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\STAT+SYS.npz,Upper bound only: C_total-C_stat is not calibration-only.
DES_Dovekie_raw,survey,IDSURVEY_10,1623,all_systematics_covariance_upper_bound,contained_in_STAT+SYS,release_all_systematics_upper_bound,0.011766741997148049,0.00013845621722744766,,0.011766741997148049,0.0,0.011766741997148049,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\STAT+SYS.npz,Upper bound only: includes every released systematic component.
DES_Dovekie_raw,survey,IDSURVEY_150,117,all_systematics_covariance_upper_bound,contained_in_STAT+SYS,release_all_systematics_upper_bound,0.019676396618983773,0.000387160583907556,,0.019676396618983773,0.0,0.019676396618983773,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\STAT+SYS.npz,Upper bound only: includes every released systematic component.
DES_Dovekie_raw,survey,IDSURVEY_64,31,all_systematics_covariance_upper_bound,contained_in_STAT+SYS,release_all_systematics_upper_bound,0.012457391087084598,0.0001551865926965748,,0.012457391087084598,0.0,0.012457391087084598,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\STAT+SYS.npz,Upper bound only: includes every released systematic component.
DES_Dovekie_raw,survey,IDSURVEY_65,22,all_systematics_covariance_upper_bound,contained_in_STAT+SYS,release_all_systematics_upper_bound,0.023063874479079774,0.0005319423059867473,,0.023063874479079774,0.0,0.023063874479079774,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\STAT+SYS.npz,Upper bound only: includes every released systematic component.
DES_Dovekie_raw,survey,IDSURVEY_OTHER,27,all_systematics_covariance_upper_bound,contained_in_STAT+SYS,release_all_systematics_upper_bound,0.023172941964601863,0.0005369852392948061,,0.023172941964601863,0.0,0.023172941964601863,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\STAT+SYS.npz,Upper bound only: includes every released systematic component.
PantheonPlusSH0ES,dataset,ALL,1580,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.0003315537062356126,1.0992786011857087e-07,,0.0003315537062356126,0.0,0.0,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,dataset,ALL,1580,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0,-9.240350504726808e-07,,0.0,0.0,0.0,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,dataset,ALL,1580,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0,-3.6499369091491754e-07,,0.0,0.0,0.0,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,dataset,ALL,1580,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.0,-1.1791008812690276e-06,,0.0,0.0,0.0,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_1,321,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.008075982502836906,6.522149338612786e-05,,0.008075982502836906,0.0,0.008075982502836906,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_1,321,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.001057645612165635,1.118614240933221e-06,,0.001057645612165635,0.0,0.001057645612165635,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_1,321,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0008738317757009346,7.635819722246485e-07,,0.0008738317757009346,0.0,0.0008738317757009346,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_1,321,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.00819168417355587,6.710368959928573e-05,,0.00819168417355587,0.0,0.00819168417355587,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_10,203,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.006936932607242753,4.8121033997427746e-05,,0.006936932607242753,0.0,0.006936932607242753,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_10,203,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0010071229489145737,1.014296634230387e-06,,0.0010071229489145737,0.0,0.0010071229489145737,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_10,203,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0035482758620689657,1.2590261593341262e-05,,0.0035482758620689657,0.0,0.0035482758620689657,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_10,203,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.007856563639721847,6.17255922249994e-05,,0.007856563639721847,0.0,0.007856563639721847,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_15,269,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.006371219705925663,4.059244054117549e-05,,0.006371219705925663,0.0,0.006371219705925663,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_15,269,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0010007144944068362,1.0014294993159298e-06,,0.0010007144944068362,0.0,0.0010007144944068362,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
