name,role,path,bytes,sha256,source_url
DES_data,distance table,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\DES-Dovekie_HD.csv,148002,2f57019d783eaa976df80a41b0054171a2d994ee9808d715ce850c2df5720aaf,https://github.com/des-science/DES-SN5YR
DES_stat,STATONLY precision,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\STATONLY.npz,19366,ba596d4f035530e53bf5bf2c24359e2dc00ef6449661a30c83bdbe50ae26f6b2,https://github.com/des-science/DES-SN5YR
DES_total,STAT+SYS precision,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\DES_SN5YR_Dovekie\STAT+SYS.npz,6244951,ffd3124b32148b1372bd95fda9299269f0352a9f8eee02d416c610e38495463b,https://github.com/des-science/DES-SN5YR
PantheonPlusSH0ES_CSP_RECAL,CSP recalibration covariance,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,32157100,820169cb4b7424b2ca0ba1a4144848e63fff03831ee7103c4668e5e16b4ca6bd,https://raw.githubusercontent.com/PantheonPlusSH0ES/DataRelease/main/Pantheon%2B_Data/4_DISTANCES_AND_COVAR/sytematic_groupings/Pantheon%2BSH0ES_122221_CSP_RECAL.cov
PantheonPlusSH0ES_FRAGILISTIC,102-parameter Fragilistic calibration covariance,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\FRAGILISTIC_COVARIANCE.npz,90672,c58704e80061f1aa1b74d97861c5b115ee412bea685e4fef88545525d16dfc70,https://raw.githubusercontent.com/PantheonPlusSH0ES/DataRelease/main/Pantheon%2B_Data/2_CALIBRATION/FRAGILISTIC_COVARIANCE.npz
PantheonPlusSH0ES_HSTCALSPEC,HST CALSPEC covariance,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,33147626,9f0ad4e15207f216adabd7900c1fa31aed6749e9d989984026ddab55e4c72b94,https://raw.githubusercontent.com/PantheonPlusSH0ES/DataRelease/main/Pantheon%2B_Data/4_DISTANCES_AND_COVAR/sytematic_groupings/Pantheon%2BSH0ES_122221_HSTCALSPEC.cov
PantheonPlusSH0ES_calibration,calibration-only covariance,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,33316040,76672f971a32a2966dde9629796b38cd665f784341a4e3fbc28c44fad6f330f3,https://raw.githubusercontent.com/PantheonPlusSH0ES/DataRelease/main/Pantheon%2B_Data/4_DISTANCES_AND_COVAR/sytematic_groupings/Pantheon%2BSH0ES_122221_CALIB.cov
PantheonPlusSH0ES_data,distance table,C:\Users\clive\Documents\Cosmology\Pantheon+SH0ES.dat,579283,1cb0fc379ef066afdc2ffd1857681cc478024570d8a3eba284fb645775198cf8,https://github.com/PantheonPlusSH0ES/DataRelease/tree/main/Pantheon%2B_Data/4_DISTANCES_AND_COVAR
PantheonPlusSH0ES_stat,STATONLY covariance,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_STATONLY.cov,31827416,9f177129a332735d3637affd20054080d5260815f3ca0809120c05b2c902297f,https://raw.githubusercontent.com/PantheonPlusSH0ES/DataRelease/main/Pantheon%2B_Data/4_DISTANCES_AND_COVAR/Pantheon%2BSH0ES_STATONLY.cov
PantheonPlusSH0ES_total,STAT+SYS covariance,C:\Users\clive\Documents\Cosmology\Pantheon+SH0ES_STAT+SYS.cov,33284960,abf806d966485e64afdb359c87bffc0ecc00d05eff0a31ced66f247385df0fdc,https://github.com/PantheonPlusSH0ES/DataRelease/tree/main/Pantheon%2B_Data/4_DISTANCES_AND_COVAR
Union3p1,compressed distance/precision,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\Union3_release\mu_mat_union3.1_UNITY1.8_template_cosmo=2_0_mu.fits,8640,bfebb15f64f2c39eb33fca91a6b370cfaebbe8946fcdd58c8d1019ea302482b9,https://doi.org/10.3847/1538-4357/adc0a5
