dataset,model,z_lower,z_upper,N,z_effective,residual_mean_mag,residual_sigma_mag
PantheonPlusSH0ES,PLAMB,0.01,0.02,144,0.015322708333333336,-0.013538096106096985,0.021155311077413825
PantheonPlusSH0ES,PLAMB,0.02,0.04,325,0.028178153846153846,-0.0354966835901935,0.010435910653079392
PantheonPlusSH0ES,PLAMB,0.04,0.07,107,0.051212429906542054,-0.035934483460125684,0.014920108908556218
PantheonPlusSH0ES,PLAMB,0.07,0.1,44,0.07841636363636363,0.007785606460208427,0.022313219685583502
PantheonPlusSH0ES,PLAMB,0.1,0.15,85,0.12825399999999998,0.011687932082424201,0.01579706372895885
PantheonPlusSH0ES,PLAMB,0.15,0.25,261,0.20354444444444444,0.01056372708020002,0.01080974060096788
PantheonPlusSH0ES,PLAMB,0.25,0.4,306,0.3146264379084967,0.042930551511997796,0.009821731911379774
PantheonPlusSH0ES,PLAMB,0.4,0.6,179,0.488468156424581,0.036569492361762296,0.014610123320694076
PantheonPlusSH0ES,PLAMB,0.6,0.9,102,0.696128823529412,-0.005087184022787277,0.02318180044311451
PantheonPlusSH0ES,PLAMB,0.9,1.3,11,1.0843245454545456,0.09961727746766143,0.07553346962226754
PantheonPlusSH0ES,PLAMB,1.3,1.8,13,1.4240238461538461,-0.1086880021741487,0.0803173500811365
PantheonPlusSH0ES,PLAMB,1.8,2.4,3,1.9914033333333332,-0.37472473547967716,0.14316363258710055
PantheonPlusSH0ES,Lambda-CDM,0.01,0.02,144,0.015322708333333336,0.03286445595789806,0.021155311077413825
PantheonPlusSH0ES,Lambda-CDM,0.02,0.04,325,0.028178153846153846,0.00429391450971214,0.010435910653079392
PantheonPlusSH0ES,Lambda-CDM,0.04,0.07,107,0.051212429906542054,-0.0065271672532144585,0.014920108908556218
PantheonPlusSH0ES,Lambda-CDM,0.07,0.1,44,0.07841636363636363,0.025342741990017226,0.022313219685583502
PantheonPlusSH0ES,Lambda-CDM,0.1,0.15,85,0.12825399999999998,0.01079282096459681,0.01579706372895885
PantheonPlusSH0ES,Lambda-CDM,0.15,0.25,261,0.20354444444444444,-0.010222918765717614,0.01080974060096788
PantheonPlusSH0ES,Lambda-CDM,0.25,0.4,306,0.3146264379084967,0.0031849699420125107,0.009821731911379774
