fit_label,model,release,redshift_bin,chi2_contribution
GENERAL_CAP8_LOWZ,GENERAL_FREE,DES_Dovekie_raw,z0p50_0p65,415.3602899204414
GENERAL_CAP8_LOWZ,GENERAL_FREE,DES_Dovekie_raw,z0p65_0p80,248.69777528973086
GENERAL_CAP8_LOWZ,GENERAL_FREE,DES_Dovekie_raw,z0p80_1p00,130.45160762728088
GENERAL_CAP8_LOWZ,GENERAL_FREE,DES_Dovekie_raw,z1p00_plus,31.69005798742499
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,z0p50_0p65,83.75075099745926
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,z0p65_0p80,44.85108167414141
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,z0p80_1p00,8.851038401146047
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,z1p00_plus,31.321599288759618
GENERAL_CAP8_LOWZ,GENERAL_FREE,Union3p1_UNITY1p8,z0p50_0p65,0.5610888521833037
GENERAL_CAP8_LOWZ,GENERAL_FREE,Union3p1_UNITY1p8,z0p65_0p80,12.457862394838862
GENERAL_CAP8_LOWZ,GENERAL_FREE,Union3p1_UNITY1p8,z0p80_1p00,3.3512233054714935
GENERAL_CAP8_LOWZ,GENERAL_FREE,Union3p1_UNITY1p8,z1p00_plus,256.6254824884237
LCDM_LOWZ,LCDM,DES_Dovekie_raw,z0p50_0p65,418.0400313535213
LCDM_LOWZ,LCDM,DES_Dovekie_raw,z0p65_0p80,245.12547702596328
LCDM_LOWZ,LCDM,DES_Dovekie_raw,z0p80_1p00,115.63701450399532
LCDM_LOWZ,LCDM,DES_Dovekie_raw,z1p00_plus,16.642999182837524
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,z0p50_0p65,75.90157761308127
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,z0p65_0p80,35.60542145770503
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,z0p80_1p00,6.74800681111916
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,z1p00_plus,21.777131127176222
LCDM_LOWZ,LCDM,Union3p1_UNITY1p8,z0p50_0p65,1.6786705567543594
LCDM_LOWZ,LCDM,Union3p1_UNITY1p8,z0p65_0p80,2.4584562660785747
