model,sample,gamma_cap,N,chi2,BIC,gamma_c,p,alpha,boundary_fraction_within_cap,best_two_chi2_disagreement,high_z_conditional_chi2,high_z_delta_chi2_vs_LCDM,optimisation_success
PATH_FREE,full,2.0,3422,3052.8695885978873,3093.559490870148,2.0,0.6281917775566327,0.0,0.0,4.547473508864641e-13,,,True
PATH_FREE,full,4.0,3422,3047.635737878489,3088.3256401507497,2.2765162400159773,0.7846331948596448,0.0,0.4308709399960057,5.9117155615240335e-12,,,True
PATH_FREE,full,8.0,3422,3047.6357378784564,3088.325640150717,2.276517431850712,0.7846337626098775,0.0,0.284564678981339,7.275957614183426e-12,,,True
PATH_FREE,low_z,2.0,2337,2101.3918787805487,2140.174995453243,1.5249980472279212,0.246777437259727,0.0,0.2375009763860394,5.4569682106375694e-12,1271.8927008043165,321.9263366617781,True
PATH_FREE,low_z,4.0,2337,2101.391878780547,2140.174995453241,1.5249979043605655,0.24677729439237198,0.0,0.38124947609014137,9.049472282640636e-11,1271.8929145500144,321.92655040747604,True
PATH_FREE,low_z,8.0,2337,2101.391878780508,2140.174995453202,1.5249954707984887,0.24677545339512924,0.0,0.1906244338498111,3.092281986027956e-11,1271.8945985651771,321.92823442263875,True
GENERAL_FREE,full,2.0,3422,3047.1742945768924,3096.002177303605,1.8319794704725338,1.753325587742634,0.7015927141340557,0.08401026476373308,5.458787200041115e-09,,,True
GENERAL_FREE,full,4.0,3422,3047.1742945767155,3096.002177303428,1.8319785224976044,1.7533333905523099,0.7015972496025132,0.4579946306244011,1.7689671949483454e-10,,,True
GENERAL_FREE,full,8.0,3422,3047.1742945766136,3096.0021773033263,1.8319799463864952,1.753333627867125,0.7015968912172863,0.2289974932983119,1.2732925824820995e-10,,,True
GENERAL_FREE,low_z,2.0,2337,2101.3861628001414,2147.9259028073748,2.0,-0.18006313995790652,-0.45207150766140225,0.0,1.241460267920047e-10,1268.877377398969,318.9110132564306,True
GENERAL_FREE,low_z,4.0,2337,2101.385593309709,2147.9253333169418,2.0502327198637227,-0.2256697654462564,-0.5,0.48744182003406933,1.420630724169314e-09,1267.9697404561111,318.00337631357274,True
GENERAL_FREE,low_z,8.0,2337,2101.3855933097016,2147.9253333169345,2.050232781349239,-0.2256697722779804,-0.5,0.25627909766865486,2.787601260934025e-10,1267.9698582273018,318.00349408476336,True
LCDM,full,,3422,3047.662517185935,3080.214439003744,,,,,,,,True
LCDM,low_z,,2337,2106.372378565068,2137.3988719032236,,,,,,949.9663641425384,0.0,True
