model,gamma_c,full_chi2,full_p,full_alpha,low_z_chi2,low_z_p,low_z_alpha,high_z_conditional_chi2,high_z_delta_chi2_vs_LCDM,optimisation_success
PATH_FREE,0.0,4559.7757059426085,-0.5,0.0,2916.587553791886,-0.5,0.0,2558.6896886699697,1608.7233245274313,True
PATH_FREE,0.05,4269.441165168496,-0.5,0.0,2788.7963292092,-0.5,0.0,2108.5059448369834,1158.539580694445,True
PATH_FREE,0.1,4018.8119288444345,-0.5,0.0,2673.253895982997,-0.5,0.0,1750.6218581171106,800.6554939745722,True
PATH_FREE,0.15,3805.2899588109185,-0.5,0.0,2569.5466579758454,-0.5,0.0,1476.1061483033657,526.1397841608273,True
PATH_FREE,0.2,3626.5123229746273,-0.5,0.0,2477.2777124204417,-0.5,0.0,1277.1063416750371,327.13997753249873,True
PATH_FREE,0.25,3480.3213529732834,-0.5,0.0,2396.06602148517,-0.5,0.0,1146.67906722319,196.71270308065164,True
PATH_FREE,0.3,3364.739874182307,-0.5,0.0,2325.545633191498,-0.5,0.0,1078.6540127319508,128.68764858941245,True
PATH_FREE,0.35,3277.9504185400706,-0.5,0.0,2265.3649482426067,-0.5,0.0,1067.5234939833583,117.55712984081993,True
PATH_FREE,0.4,3218.277611098811,-0.5,0.0,2215.1860295979814,-0.5,0.0,1108.3518178110608,158.38545366852236,True
PATH_FREE,0.45,3184.1731186721536,-0.5,0.0,2174.6839518782363,-0.5,0.0,1196.7001548379512,246.73379069541284,True
PATH_FREE,0.5,3174.0202554336825,-0.4939005314991901,0.0,2143.5461879123764,-0.5,0.0,1328.5637167675688,378.59735262503045,True
PATH_FREE,0.55,3172.3817674052884,-0.4454381007448158,0.0,2121.4720299476526,-0.5,0.0,1500.3188052389041,550.3524410963657,True
PATH_FREE,0.6,3170.0954361456575,-0.3980564322369887,0.0,2108.1720432313746,-0.5,0.0,1708.6778608444981,758.7114967019597,True
PATH_FREE,0.65,3167.236973994413,-0.35170536026086296,0.0,2103.3675498478874,-0.5,0.0,1950.6510554735,1000.6846913309616,True
