fit_label,model,release,survey,chi2_contribution
GENERAL_CAP8_LOWZ,GENERAL_FREE,DES_Dovekie_raw,10,826.1997308248781
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,10,43.01963551063596
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,100,16.849608102294795
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,101,6.219695123848796
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,106,17.103334463762074
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,15,18.14806681757338
GENERAL_CAP8_LOWZ,GENERAL_FREE,PantheonPlusSH0ES,4,67.43413034339133
GENERAL_CAP8_LOWZ,GENERAL_FREE,Union3p1_UNITY1p8,COMPRESSED,272.9956570409173
LCDM_LOWZ,LCDM,DES_Dovekie_raw,10,795.4455220663174
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,10,34.330190650792126
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,100,22.05688923439101
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,101,3.3708015564866955
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,106,3.097447147417675
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,15,16.36189226344517
LCDM_LOWZ,LCDM,PantheonPlusSH0ES,4,60.81491615654901
LCDM_LOWZ,LCDM,Union3p1_UNITY1p8,COMPRESSED,14.4887050671392
PATH_CAP2_LOWZ,PATH_FREE,DES_Dovekie_raw,10,826.4344392120411
PATH_CAP2_LOWZ,PATH_FREE,PantheonPlusSH0ES,10,43.022698966137185
PATH_CAP2_LOWZ,PATH_FREE,PantheonPlusSH0ES,100,16.87547745038905
PATH_CAP2_LOWZ,PATH_FREE,PantheonPlusSH0ES,101,6.2515515228965866
PATH_CAP2_LOWZ,PATH_FREE,PantheonPlusSH0ES,106,17.376795154074852
PATH_CAP2_LOWZ,PATH_FREE,PantheonPlusSH0ES,15,18.14386357125618
PATH_CAP2_LOWZ,PATH_FREE,PantheonPlusSH0ES,4,67.44769152314603
PATH_CAP2_LOWZ,PATH_FREE,Union3p1_UNITY1p8,COMPRESSED,276.3401834043757
PATH_CAP4_LOWZ,PATH_FREE,DES_Dovekie_raw,10,826.4344677973137
PATH_CAP4_LOWZ,PATH_FREE,PantheonPlusSH0ES,10,43.02270355972952
PATH_CAP4_LOWZ,PATH_FREE,PantheonPlusSH0ES,100,16.87547916491021
PATH_CAP4_LOWZ,PATH_FREE,PantheonPlusSH0ES,101,6.251552916939876
PATH_CAP4_LOWZ,PATH_FREE,PantheonPlusSH0ES,106,17.37680251541215
PATH_CAP4_LOWZ,PATH_FREE,PantheonPlusSH0ES,15,18.143864588825934
PATH_CAP4_LOWZ,PATH_FREE,PantheonPlusSH0ES,4,67.44769566870107
PATH_CAP4_LOWZ,PATH_FREE,Union3p1_UNITY1p8,COMPRESSED,276.3403483381819
PATH_CAP8_LOWZ,PATH_FREE,DES_Dovekie_raw,10,826.4346572729563
PATH_CAP8_LOWZ,PATH_FREE,PantheonPlusSH0ES,10,43.022728538700115
PATH_CAP8_LOWZ,PATH_FREE,PantheonPlusSH0ES,100,16.875491944558917
PATH_CAP8_LOWZ,PATH_FREE,PantheonPlusSH0ES,101,6.251564517412049
PATH_CAP8_LOWZ,PATH_FREE,PantheonPlusSH0ES,106,17.376871132152463
PATH_CAP8_LOWZ,PATH_FREE,PantheonPlusSH0ES,15,18.143869137468755
PATH_CAP8_LOWZ,PATH_FREE,PantheonPlusSH0ES,4,67.44772172963349
PATH_CAP8_LOWZ,PATH_FREE,Union3p1_UNITY1p8,COMPRESSED,276.3416942922951
