holdout_type,holdout_id,model,N_train,N_test,train_chi2,test_chi2,training_parameters,optimisation_success
release_shape,PantheonPlusSH0ES,PATH_FREE,1842,1580,1662.4242512056624,1390.472498872076,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.630573294263588}",True
release_shape,PantheonPlusSH0ES,PETER_FIXED,1842,1580,1713.480605002115,1436.6648757776115,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
release_shape,PantheonPlusSH0ES,FRACTIONAL_FIXED,1842,1580,4938.447242505943,3142.8072379996947,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
release_shape,PantheonPlusSH0ES,LCDM,1842,1580,1660.5593334114365,1387.1052651177388,"{""Omega_m"": 0.3301988463029728}",True
release_shape,DES_Dovekie_raw,PATH_FREE,1602,1820,1419.4448128443787,1633.4851311780185,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6317419975550725}",True
release_shape,DES_Dovekie_raw,PETER_FIXED,1602,1820,1482.9354268801676,1667.210053899559,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
release_shape,DES_Dovekie_raw,FRACTIONAL_FIXED,1602,1820,4072.1142462530315,4009.140234252606,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
release_shape,DES_Dovekie_raw,LCDM,1602,1820,1415.8641048064114,1631.8268460973504,"{""Omega_m"": 0.3324596709691795}",True
release_shape,Union3p1_UNITY1p8,PATH_FREE,3400,22,3023.748417444364,29.210222751405922,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6238807947958201}",True
release_shape,Union3p1_UNITY1p8,PETER_FIXED,3400,22,3103.8749296771703,46.27055110255609,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
release_shape,Union3p1_UNITY1p8,FRACTIONAL_FIXED,3400,22,7151.947472252301,929.3070082533366,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
release_shape,Union3p1_UNITY1p8,LCDM,3400,22,3018.8812189516093,28.786369802447595,"{""Omega_m"": 0.3299292800028168}",True
survey_conditional,PantheonPlusSH0ES:survey=1,PATH_FREE,3101,321,2703.7576245313985,349.1891890306152,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6268987500482199}",True
survey_conditional,PantheonPlusSH0ES:survey=1,PETER_FIXED,3101,321,2800.3936505886177,349.77028539292735,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=1,FRACTIONAL_FIXED,3101,321,7644.213845651194,450.04390099060623,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=1,LCDM,3101,321,2697.946282191886,350.0264129488669,"{""Omega_m"": 0.32959460433296567}",True
survey_conditional,PantheonPlusSH0ES:survey=4,PATH_FREE,3262,160,2953.458209647595,99.54580943179283,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6298414225955116}",True
survey_conditional,PantheonPlusSH0ES:survey=4,PETER_FIXED,3262,160,3044.14808122647,106.57263410006641,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=4,FRACTIONAL_FIXED,3262,160,7537.976424339879,587.9569209825245,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
survey_conditional,PantheonPlusSH0ES:survey=4,LCDM,3262,160,2949.85316017712,97.92054570429835,"{""Omega_m"": 0.33221643795947303}",True
survey_conditional,PantheonPlusSH0ES:survey=5,PATH_FREE,3348,74,2991.4578268685605,61.47373152236191,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6285084573375108}",True
survey_conditional,PantheonPlusSH0ES:survey=5,PETER_FIXED,3348,74,3086.7271153409574,63.47020870813902,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}",True
survey_conditional,PantheonPlusSH0ES:survey=5,FRACTIONAL_FIXED,3348,74,7955.711604106822,126.13121414048692,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}",True
