scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
baseline,NGC2903,candidate,NGC2903,34,6.216802496766405,5.807908451250313,216.29584442411058,222.512646920877,1.5426427776524532,1.544025870791945,0.4164336760096024,0.41051409664604493,0.4164336760096024,0.41051409664604493,0.0,0.0,1.0,1.0,True
baseline,NGC3521,matched_control,NGC2903,41,-0.2981745638757509,-0.791470741594372,18.13421717488037,17.83604261100462,0.5680226840020306,0.6254333906846458,0.7399759571600566,0.7100695420679148,0.7399759571600566,0.7100695420679148,0.0,0.0,1.0,1.0,True
baseline,NGC4559,matched_control,NGC2903,32,-0.0030465653380939983,-0.02532354223434652,11.184507221662777,11.181460656324683,-0.9521358559236645,-0.9538541873259349,0.9326748587066174,0.9251930056190215,0.9326748587066174,0.9251930056190215,0.0,0.0,1.0,1.0,True
baseline,NGC5033,matched_control,NGC5985,22,5.600799562935762,5.600698747669696,97.17994562322339,102.78074518615915,0.11744204524101357,0.1173782916212999,1.0031730773011178,0.9958525226345483,1.0031730773011178,0.9958525226345483,0.0,0.0,1.0,1.0,True
baseline,NGC5985,candidate,NGC5985,33,-3.660684999404225,-3.722729382772968,424.2272164470457,420.56653144764147,-0.9793486792968416,-1.0105286829225528,2.718281828459045,2.718281828459045,2.718281828459045,2.718281828459045,0.0,0.0,1.0,1.0,True
baseline,NGC6195,matched_control,UGC09133,23,-1.7053664580560906,-1.6654114263861999,123.77864747144494,122.07328101338885,-4.0,-4.0,1.3741715407157948,1.3687504128492518,1.3741715407157948,1.3687504128492518,0.0,0.0,1.0,1.0,True
baseline,NGC6674,matched_control,UGC02487,15,-2.322422095905381,-2.7955943937094503,67.1205090394316,64.79808694352622,-1.5266552949468835,-1.5945242438519336,1.996217778107099,2.0197416932108543,1.996217778107099,2.0197416932108543,0.0,0.0,1.0,1.0,True
baseline,UGC02487,candidate,UGC02487,17,0.5478653599299435,0.6168301048996696,38.97377093033151,39.521636290261455,-0.319910333668528,-0.3346438926148316,1.9042990097182277,1.8970286826481582,1.9042990097182277,1.8970286826481582,0.0,0.0,1.0,1.0,True
baseline,UGC02885,matched_control,UGC02487,19,-0.5561283735787512,-0.5285938956235938,41.7277860114553,41.17165763787655,-1.4596164335768622,-1.471548692594431,1.4114330004753581,1.4033882398334365,1.4114330004753581,1.4033882398334365,0.0,0.0,1.0,1.0,True
baseline,UGC02916,matched_control,UGC06787,43,2.0185014698522536,1.7336768537666103,225.96507865934592,227.98358012919817,0.601031626137893,0.7103639700421818,0.7807632272604814,0.7674037784364404,0.7807632272604814,0.7674037784364404,0.0,0.0,1.0,1.0,True
