scenario,model,galaxy,N_points,success,message,optimisation_starts,successful_starts,best_start_index,profile_objective_start_spread,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,RAR,UGC06787,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,10,7.617690128103902,282.76340290846616,252.87234027767914,29.891062630787033,1.0469651691108028,3.7270715891685033,2.848991776644113,-1.0,0.36787944117144233,-1.0,0.36787944117144233,0.0,0.0,66.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06787,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,2,19.782438304605023,279.74060235158686,249.87525537924893,29.865346972337946,1.0461031178673386,3.723620143400498,2.846536858025289,-1.0,0.36787944117144233,-1.0,0.36787944117144233,0.0,0.0,66.0,0.0,1.0
baseline,RAR,UGC03580,47,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,6,2.5579538487363607e-13,96.96950351481766,80.71676438932641,16.25273912549125,0.24236225097400255,0.5027316635057393,1.2742557095906248,-1.0,0.36787944117144233,-1.0,0.36787944117144233,0.0,0.0,63.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03580,47,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,1,1.8474111129762605e-13,94.27162719130027,78.02768783457792,16.243939356722354,0.24014421476973247,0.4939021732310488,1.2714324964451826,-1.0,0.36787944117144233,-1.0,0.36787944117144233,0.0,0.0,63.0,0.0,1.0
baseline,RAR,UGC02487,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,3,6.977529665164184e-12,38.97377093033151,32.233303469848124,6.740467460483385,0.06792358268325054,-0.319910333668528,1.0702835171591352,0.6441139669584625,1.9042990097182277,0.6441139669584625,1.9042990097182277,0.0,0.0,36.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02487,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,3,7.716494110354688e-12,39.521636290261455,32.850133574747794,6.671502715513665,0.065706086112461,-0.3346438926148316,1.06791279663384,0.6402888108428716,1.8970286826481582,0.6402888108428716,1.8970286826481582,0.0,0.0,36.0,0.0,1.0
baseline,RAR,NGC5985,33,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,0,7.389644451905042e-13,424.2272164470457,407.2680926114052,16.95912383564047,-0.12814828025955657,-0.9793486792968416,0.8797229239294182,1.0,2.718281828459045,1.0,2.718281828459045,0.0,0.0,60.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC5985,33,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,2,1.0800249583553523e-12,420.56653144764147,403.54536322863225,17.02116821900919,-0.1359236464029959,-1.0105286829225528,0.8729092797076734,1.0,2.718281828459045,1.0,2.718281828459045,0.0,0.0,60.0,0.0,1.0
baseline,RAR,UGC09133,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,3,1.5262457964126952e-11,199.44680301348555,193.5863350034495,5.860468010036053,-0.22083443772981687,-1.6874883660442808,0.8018494253123082,0.43393915360489027,1.5433249594992473,0.43393915360489027,1.5433249594992473,0.0,0.0,53.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC09133,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,7,1.4154011296341196e-11,211.5978366605621,205.82052423131557,5.777312429246543,-0.22269274261151306,-1.6967961913727765,0.8003607282657689,0.4256021553479687,1.530511748078358,0.4256021553479687,1.530511748078358,0.0,0.0,53.0,0.0,1.0
