scenario,candidate_mean_delta,candidate_median_delta,control_mean_delta,control_median_delta,candidate_minus_control_mean,mean_matched_block_contrast,median_matched_block_contrast,positive_candidate_blocks,descriptive_one_sided_sign_p,candidates_plamb_worse,controls_plamb_worse,optimiser_failures
baseline,1.5890566039953313,-1.075005481793724,0.3697223044309211,0.016463260504456123,1.2193342995644103,1.21933429956441,-0.5080007387922794,3,0.65625,3,6,0
combined_conventional,0.38816081729202817,0.062418736603662595,0.013867211598343698,-0.05183664802833832,0.3742936056936845,0.3742936056936845,0.24161794579374074,3,0.65625,4,5,0
disk_bulge_decoupled,1.7294624442804445,2.3434035498063075,0.12900715688404332,-0.31240322939514087,1.600455287396401,1.6004552873964013,1.8957016641210127,4,0.34375,3,3,0
distance_floor_10pct,1.589056603995245,-1.0750054817945092,0.36972230443112863,0.016463260504454347,1.2193342995641163,1.2193342995641163,-0.5080007387930423,3,0.65625,3,6,0
distance_published_frame,1.1447146667576646,-1.087401717691364,0.38717370949265933,0.025124646621994096,0.7575409572650054,0.7575409572650055,-0.5063834069007709,3,0.65625,3,6,0
distance_student_t3,1.5906518933029912,-1.0746346791223509,0.4048537111968116,0.018741468041745257,1.1857981821061796,1.1857981821061796,-0.4926029495862556,3,0.65625,3,6,0
gas_scale_20pct,2.5271512565417957,1.1479018672508907,0.3390510827189446,0.015628330887567543,2.188100173822851,2.188100173822851,1.1399451987013318,4,0.34375,4,7,0
inclination_nuisance,1.5854649106486,-1.0782431522614395,0.3866408663903604,0.015394350669390988,1.1988240442582396,1.1988240442582399,-0.4834403601968149,3,0.65625,3,6,0
radial_correlation_rho035,0.9492489068022554,-0.524536203819773,0.1461782849329921,-0.018499977154591285,0.8030706218692633,0.8030706218692633,-0.12128266778198382,3,0.65625,3,6,0
stellar_ml_tight,0.8205697197067868,-0.5348589414000315,0.39105471447081835,0.023869163430502383,0.4295150052359685,0.4295150052359684,-0.9693030865585346,3,0.65625,3,7,0
stellar_ml_wide,2.7176210348950094,0.6335074488632664,0.36556543901699473,0.009829776566464332,2.3520555958780145,2.352055595878015,0.4164139131329474,3,0.65625,4,6,0
velocity_jitter_5kms,0.4738441188037819,-0.46767426121925304,0.15776172417299175,-0.05651129230847918,0.31608239463079013,0.3160823946307902,-0.19430064592093288,3,0.65625,3,6,0
