scenario,galaxy,group,matched_candidate,N_points,delta_profile_objective_plamb_minus_rar,delta_data_objective_plamb_minus_rar,rar_profile_objective,plamb_profile_objective,rar_distance_pull,plamb_distance_pull,rar_disk_ml_multiplier,plamb_disk_ml_multiplier,rar_bulge_ml_multiplier,plamb_bulge_ml_multiplier,rar_delta_inc_deg,plamb_delta_inc_deg,rar_gas_multiplier,plamb_gas_multiplier,both_optimisers_succeeded
baseline,NGC2903,candidate,NGC2903,34,6.216802496767798,5.807910115428342,216.2958444241117,222.5126469208795,1.5426427137398868,1.5440256980860794,0.4164336890364408,0.41051412841632884,0.4164336890364408,0.41051412841632884,0.0,0.0,1.0,1.0,True
baseline,NGC3521,matched_control,NGC2903,41,-0.2981745638759037,-0.7914707083131951,18.134217174880554,17.83604261100465,0.5680226753647069,0.6254333828190505,0.7399759564428856,0.7100695436178233,0.7399759564428856,0.7100695436178233,0.0,0.0,1.0,1.0,True
baseline,NGC4559,matched_control,NGC2903,32,-0.0030465653379643243,-0.02532350999391042,11.18450722166307,11.181460656325106,-0.9521359788664029,-0.9538542989206761,0.9326749202800367,0.9251930644669822,0.9326749202800367,0.9251930644669822,0.0,0.0,1.0,1.0,True
baseline,NGC5033,matched_control,NGC5985,22,5.60079956293832,5.6006987646566415,97.17994562322373,102.78074518616205,0.11744207297482745,0.11737823880036594,1.0031730499313622,0.9958525288942676,1.0031730499313622,0.9958525288942676,0.0,0.0,1.0,1.0,True
baseline,NGC5985,candidate,NGC5985,33,-3.6606849994039976,-3.7227293940858885,424.2272164470457,420.5665314476417,-0.9793486792968416,-1.0105286885201905,2.718281828459045,2.718281828459045,2.718281828459045,2.718281828459045,0.0,0.0,1.0,1.0,True
baseline,NGC6195,matched_control,UGC09133,23,-1.7053664580559484,-1.6654113992154862,123.77864747144503,122.07328101338908,-4.0,-4.0,1.3741715408377448,1.3687504092698441,1.3741715408377448,1.3687504092698441,0.0,0.0,1.0,1.0,True
baseline,NGC6674,matched_control,UGC02487,15,-2.3224220959068163,-2.795590826467553,67.12050903943303,64.79808694352622,-1.5266556262172464,-1.5945242438519336,1.9962180087511143,2.0197416932108543,1.9962180087511143,2.0197416932108543,0.0,0.0,1.0,1.0,True
baseline,UGC02487,candidate,UGC02487,17,0.5478653599280179,0.6168324613346954,38.97377093033464,39.521636290262656,-0.3199108887705649,-0.3346440387861504,1.90429926649839,1.897028745627536,1.90429926649839,1.897028745627536,0.0,0.0,1.0,1.0,True
baseline,UGC02885,matched_control,UGC02487,19,-0.5561283735786802,-0.5285940788216266,41.72778601145554,41.17165763787686,-1.4596165603712716,-1.4715488513487798,1.4114330255432614,1.4033882763225414,1.4114330255432614,1.4033882763225414,0.0,0.0,1.0,1.0,True
baseline,UGC02916,matched_control,UGC06787,43,2.0185014698508894,1.7336770601670537,225.965078659349,227.98358012919988,0.6010312581102921,0.7103635734254594,0.7807632816811617,0.7674038361665987,0.7807632816811617,0.7674038361665987,0.0,0.0,1.0,1.0,True
