scenario,candidate_mean_delta,candidate_median_delta,control_mean_delta,control_median_delta,candidate_minus_control_mean,mean_matched_block_contrast,median_matched_block_contrast,positive_candidate_blocks,descriptive_one_sided_sign_p,candidates_plamb_worse,controls_plamb_worse,optimiser_failures
baseline,1.589056603994127,-1.0750054817946513,0.36972230443117066,0.016463260504542276,1.2193342995629564,1.2193342995629564,-0.5080007387928971,3,0.65625,3,6,0
combined_conventional,0.38816081727096713,0.06241873661883446,0.013867211599417542,-0.05183664802094512,0.37429360567154957,0.37429360567154957,0.2416179456837675,3,0.65625,4,5,0
disk_bulge_decoupled,4.759574975455828,2.6374761079667017,0.12900715688940098,-0.3124032293939205,4.630567818566427,4.630567818566427,3.574014190859659,4,0.34375,3,3,0
distance_floor_10pct,1.589056603994127,-1.0750054817946513,0.36972230443117066,0.016463260504542276,1.2193342995629564,1.2193342995629564,-0.5080007387928971,3,0.65625,3,6,0
distance_published_frame,1.144714666758669,-1.087401717690426,0.38717370949324126,0.02512464662171876,0.7575409572654277,0.7575409572654276,-0.5063834068990438,3,0.65625,3,6,0
distance_student_t3,1.5906518933034945,-1.0746346791231005,0.40485371119701,0.018741468042009934,1.1857981821064845,1.1857981821064845,-0.49260294958785167,3,0.65625,3,6,0
gas_scale_20pct,2.5271512565362286,1.147901867242922,0.3390510830649493,0.01562833088887139,2.1881001734712795,2.188100173471279,1.1399451986911924,4,0.34375,4,7,0
inclination_nuisance,2.559949450751175,1.682811945537022,0.38664086627664496,0.015394350682817581,2.17330858447453,2.17330858447453,1.4622631765252656,4,0.34375,4,6,0
radial_correlation_rho035,0.949248906801774,-0.5245362038209613,0.14617828492946314,-0.018499977154478042,0.8030706218723108,0.8030706218723109,-0.12128266778335295,3,0.65625,3,6,0
stellar_ml_tight,-69.18157092931396,-0.5348589413983476,0.3910547144702872,0.023869163430623175,-69.57262564378425,-69.57262564378425,-0.9693030865566428,3,0.65625,3,7,0
stellar_ml_wide,4.430054458396749,3.2887719614297026,0.36556543901560135,0.009829776566149029,4.064489019381147,4.064489019381147,4.090432751703185,4,0.34375,5,6,0
velocity_jitter_5kms,0.4738441188037097,-0.4676742612194058,0.15776172417322173,-0.05651129230851515,0.31608239463048793,0.316082394630488,-0.19430064592285756,3,0.65625,3,6,0
