fold,N_test,delta_lpd,delta_sse,recovered_amp,recovered_l_deg,recovered_b_deg
0,1443,0.054888804944880576,-0.00442427523617539,0.0007843438261448976,216.51409321357426,43.439500993324735
1,3990,0.03847551652256698,-0.00419932112016852,0.0027638416726380698,160.56743541318212,6.699075835037475
2,5294,-1.005211331391365,0.06938505771492487,0.003369751732310063,189.02510228728565,1.5479222343498644
3,8500,-0.5916231969790715,0.04050925200641586,0.002480698722222127,204.47611080692607,13.766371259739538
4,5751,-1.7545773937117701,0.12199311517360911,0.004972164054241459,149.08256288284738,1.6075090990221408
5,8357,-0.25383296054405946,0.019343049174779026,0.002983398647878001,153.7179848031884,31.369505468834145
6,5953,0.15092887966238777,-0.007602365530772204,0.0026256728998862115,155.2876853970856,22.87434084801212
7,3990,-0.09359032673319234,0.006179386852807056,0.0029798865951281245,133.06776816370737,18.845745779278147
8,885,-0.19851352227965435,0.014398663566723258,0.0022091509528464615,196.60874807031652,9.597074041264838
9,877,0.02740303343659889,-0.0023033127992206914,0.0024538217565148878,166.05468114119537,16.710160536047784
10,476,-0.09202622600383847,0.0062513245400595,0.0029675629434065044,159.66847458862793,13.035031569727819
11,1171,-0.2907250475926162,0.019882037957380305,0.003392216845468368,159.94855371782867,9.361023524231248
