fold,longitude_lo_deg,longitude_hi_deg,N_test,delta_lpd,delta_sse,recovered_amp,recovered_l_deg,recovered_b_deg
0,0.0,30.0,11070,-477.4102479387784,11.064903179420071,0.01211759985373185,195.60921073362778,8.508545313929252
1,30.0,60.0,18786,-1614.8338981991928,37.10503480390253,0.021583879383446452,220.44764327719514,4.444328168399827
2,60.0,90.0,12903,-714.3850954361988,16.542759218202264,0.01435565287402229,248.893156369488,5.719075808443062
3,90.0,120.0,18853,-1493.8381026574116,34.51538846791664,0.020395344278595018,279.29530663227854,5.072613841607905
4,120.0,150.0,12516,-611.6564751742462,14.189927298622933,0.013075297285496631,306.4544740812245,8.659411102942968
5,150.0,180.0,16967,-1014.9764435997404,23.552986861654063,0.01655158669879829,335.55737617983596,3.7321687738863534
6,180.0,210.0,12083,-438.8269315468242,10.194009449151054,0.010325110587657197,3.978757296083874,8.607609019834543
7,210.0,240.0,20359,-1558.0103587236226,35.99096932540124,0.01942439702018493,39.51008429705936,6.301462791793267
8,240.0,270.0,13347,-508.09348081504504,11.82368724799744,0.010590490616367281,76.07777113000901,11.800966050493408
9,270.0,300.0,18811,-1234.4801095728053,28.64369887079374,0.017541759367911865,108.84439321852577,4.49848827850196
10,300.0,330.0,12021,-542.637272212396,12.605839254516468,0.012228444892870283,143.30466063959432,6.393721710745352
11,330.0,360.0,18023,-1444.253737056586,33.27632765502494,0.020590171743208478,166.2841552614248,6.091228173045677
