amplitude_scale,partition,n_replicates,predictive_detection_rate,joint_recovery_rate,delta_cvlpd_median,delta_cvlpd_q05,delta_cvlpd_q95,amplitude_ratio_median,direction_separation_median_deg
0.0,threshold_calibration,1000,0.009,nan,-320.9841594950767,-708.0715993119381,141.26929539907547,nan,nan
0.0,untouched_validation,1000,0.014,nan,-320.0527402210346,-714.9550219171632,133.78236029214926,nan,nan
0.5,threshold_calibration,1000,0.014,0.0,-320.390260523337,-704.1326898118853,180.59758780460166,7.149939824222187,79.67171455706719
0.5,untouched_validation,1000,0.016,0.0,-318.25656381776207,-710.6100933041332,160.5750363899121,7.287873604656104,80.46839049852696
1.0,threshold_calibration,1000,0.021,0.0,-310.1417018202483,-707.2330328419863,236.61650110176885,3.608033796028587,70.84982619041256
1.0,untouched_validation,1000,0.016,0.0,-313.2666917057959,-705.0990025967706,184.9348600553279,3.7067530259307633,71.73304633118383
1.5,threshold_calibration,1000,0.033,0.0,-293.02625683917086,-684.7243262288831,281.42973960805864,2.466635871763608,62.540917918046134
1.5,untouched_validation,1000,0.023,0.0,-300.1237286423757,-701.2587691431038,213.17922133403138,2.5781700336157316,62.85396901466742
2.0,threshold_calibration,1000,0.042,0.0,-273.434544908283,-681.3871438895192,369.247303943358,1.9266214809399818,54.609345305590196
2.0,untouched_validation,1000,0.03,0.0,-277.32237924965557,-682.9008377254099,264.5023981957792,2.0372077407815667,55.808069421348634
