z,delta_mu_su2r_minus_lcdm
1.0,0.009006474550439236
1.001,0.009009022524409716
1.002,0.009011558814869147
1.003,0.009014083450253452
1.004,0.0090165964589346
1.005,0.009019097869241932
1.006,0.009021587709398204
1.007,0.009024066007611964
1.008,0.009026532792006492
1.009,0.009028988090648227
1.01,0.009031431931546763
1.011,0.009033864342661957
1.012,0.009036285351896822
1.013,0.00903869498703358
1.014,0.009041093275897083
1.015,0.009043480246162972
1.016,0.00904585592549978
1.017,0.009048220341504987
1.018,0.009050573521697913
1.019,0.009052915493562352
1.02,0.009055246284503937
1.021,0.00905756592189988
1.022,0.00905987443302081
1.023,0.009062171845144462
1.024,0.00906445818539936
1.025,0.009066733480949551
1.026,0.009068997758852504
1.027,0.009071251046101736
1.028,0.009073493369648133
1.029,0.009075724756385739
1.03,0.009077945233137541
1.031,0.009080154826691
1.032,0.009082353563748313
1.033,0.009084541470983254
1.034,0.009086718574984332
1.035,0.009088884902297423
1.036,0.009091040479404455
1.037,0.00909318533275183
1.038,0.009095319488693576
1.039,0.009097442973548198
1.04,0.009099555813563143
1.041,0.009101658034957438
1.042,0.009103749663864846
1.043,0.009105830726383601
1.044,0.009107901248526673
1.045,0.009109961256285715
1.046,0.009112010775560009
1.047,0.009114049832220417
1.048,0.009116078452088061
1.049,0.009118096660877484
1.05,0.009120104484310332
1.051,0.009122101948022987
1.052,0.009124089077587882
1.053,0.009126065898541924
1.054,0.009128032436336753
1.055,0.009129988716409798
1.056,0.009131934764099015
1.057,0.009133870604728145
1.058,0.009135796263535667
1.059,0.009137711765731638
1.06,0.009139617136426637
1.061,0.009141512400717033
1.062,0.00914339758366367
1.063,0.009145272710199492
1.064,0.009147137805257444
1.065,0.009148992893727836
1.066,0.009150838000394401
1.067,0.009152673150012447
1.068,0.009154498367308861
1.069,0.00915631367691816
1.07,0.009158119103432227
1.071,0.009159914671407421
1.072,0.009161700405307727
1.073,0.009163476329604237
1.074,0.009165242468640145
1.075,0.00916699884676575
1.076,0.009168745488246088
1.077,0.00917048241730356
1.078,0.00917220965809662
1.079,0.009173927234769508
1.08,0.009175635171345675
1.081,0.009177333491848572
