scope,covariance_variant,model,N,N_release_intercepts,N_shape_parameters,parameter_name,parameter_value,parameter_sigma,chi2,BIC,delta_BIC_vs_LCDM,offsets,success
all_releases,released_total_primary,PETER_NOLOSS_LCONST,3422,3,0,s_fixed,0.0,,3150.1454807797263,3174.559422143083,94.34498313934455,"{""DES_Dovekie_raw"": 0.00786567469860942, ""PantheonPlusSH0ES"": -0.12290424566399825, ""Union3p1_UNITY1p8"": -0.014807847306313019}",True
all_releases,released_total_primary,PETER_NOLOSS_PARTICLECOUNT,3422,3,0,s_fixed,-0.5,,6957.8269320781355,6982.240873441492,3902.026434437754,"{""DES_Dovekie_raw"": 0.38093141036517775, ""PantheonPlusSH0ES"": 0.07544614029623072, ""Union3p1_UNITY1p8"": 0.47874689712630775}",True
all_releases,released_total_primary,PETER_NOLOSS_CHANDRA,3422,3,0,s_fixed,-1.75,,45437.95279232697,45462.36673369032,42382.15229468659,"{""DES_Dovekie_raw"": 1.313595749531598, ""PantheonPlusSH0ES"": 0.5713221051968032, ""Union3p1_UNITY1p8"": 1.7126337582078606}",True
all_releases,released_total_primary,STATIC_DUALITY_LCONST,3422,3,0,s_fixed,2.0,,54115.81334873529,54140.22729009864,51060.01285109491,"{""DES_Dovekie_raw"": -1.484397267967663, ""PantheonPlusSH0ES"": -0.916305789504914, ""Union3p1_UNITY1p8"": -1.9890268250367995}",True
all_releases,released_total_primary,STATIC_DUALITY_CHANDRA,3422,3,0,s_fixed,0.25,,3728.6695178736104,3753.083459236967,672.8690202332286,"{""DES_Dovekie_raw"": -0.17866719313467463, ""PantheonPlusSH0ES"": -0.22207943864411286, ""Union3p1_UNITY1p8"": -0.2615852195226247}",True
all_releases,released_total_primary,COMPOSITE_S_FREE,3422,3,1,s,0.037604901114341276,0.008690961721804263,3131.423438238977,3163.9753600567856,83.76092105304724,"{""DES_Dovekie_raw"": -0.020192525499171013, ""PantheonPlusSH0ES"": -0.13782213896404982, ""Union3p1_UNITY1p8"": -0.05192800202411832}",True
all_releases,released_total_primary,FLAT_LCDM,3422,3,1,Omega_m,0.33067964339262307,,3047.6625171859296,3080.2144390037383,0.0,"{""DES_Dovekie_raw"": -0.0702242112355724, ""PantheonPlusSH0ES"": -0.17768385449710764, ""Union3p1_UNITY1p8"": -0.05538877020981951}",True
all_releases,pantheon_calib_statonly_grouped,PETER_NOLOSS_LCONST,3422,3,0,s_fixed,0.0,,3232.118100852851,3256.5320422162076,98.12467092899124,"{""DES_Dovekie_raw"": 0.00786567469860942, ""PantheonPlusSH0ES"": -0.11862077225657906, ""Union3p1_UNITY1p8"": -0.014807847306313019}",True
all_releases,pantheon_calib_statonly_grouped,PETER_NOLOSS_PARTICLECOUNT,3422,3,0,s_fixed,-0.5,,7535.702440902132,7560.116382265489,4401.709010978273,"{""DES_Dovekie_raw"": 0.38093141036517775, ""PantheonPlusSH0ES"": 0.0771109113941584, ""Union3p1_UNITY1p8"": 0.47874689712630775}",True
all_releases,pantheon_calib_statonly_grouped,PETER_NOLOSS_CHANDRA,3422,3,0,s_fixed,-1.75,,51229.359556450014,51253.77349781337,48095.36612652615,"{""DES_Dovekie_raw"": 1.313595749531598, ""PantheonPlusSH0ES"": 0.5664401205210019, ""Union3p1_UNITY1p8"": 1.7126337582078606}",True
