scope,covariance_variant,model,N,N_release_intercepts,N_shape_parameters,parameter_name,parameter_value,parameter_sigma,chi2,BIC,delta_BIC_vs_LCDM,offsets,success
z<0.5,released_total_primary,PETER_NOLOSS_LCONST,2337,3,0,s_fixed,0.0,,2163.119894478752,2186.3897644823687,48.990892579149204,"{""DES_Dovekie_raw"": 0.0014020113557323467, ""PantheonPlusSH0ES"": -0.11980011495932995, ""Union3p1_UNITY1p8"": 0.0267388448554125}",True
z<0.5,released_total_primary,PETER_NOLOSS_PARTICLECOUNT,2337,3,0,s_fixed,-0.5,,4128.319380367299,4151.589250370916,2014.190378467696,"{""DES_Dovekie_raw"": 0.25250127796136684, ""PantheonPlusSH0ES"": 0.047563107840918425, ""Union3p1_UNITY1p8"": 0.3020573804331081}",True
z<0.5,released_total_primary,PETER_NOLOSS_CHANDRA,2337,3,0,s_fixed,-1.75,,21146.561278376314,21169.83114837993,19032.43227647671,"{""DES_Dovekie_raw"": 0.8802494444754527, ""PantheonPlusSH0ES"": 0.46597116484153933, ""Union3p1_UNITY1p8"": 0.9903537193773462}",True
z<0.5,released_total_primary,STATIC_DUALITY_LCONST,2337,3,0,s_fixed,2.0,,21971.449227010642,21994.71909701426,19857.320225111038,"{""DES_Dovekie_raw"": -1.0029950550668052, ""PantheonPlusSH0ES"": -0.7892530061603235, ""Union3p1_UNITY1p8"": -1.0745352974553755}",True
z<0.5,released_total_primary,STATIC_DUALITY_CHANDRA,2337,3,0,s_fixed,0.25,,2218.112424387704,2241.3822943913206,103.98342248810104,"{""DES_Dovekie_raw"": -0.12414762194708494, ""PantheonPlusSH0ES"": -0.20348172635945416, ""Union3p1_UNITY1p8"": -0.11092042293343844}",True
z<0.5,released_total_primary,COMPOSITE_S_FREE,2337,3,1,s,0.10512494960168882,0.013442723679342659,2101.9641780885127,2132.990671426668,-4.408200476551428,"{""DES_Dovekie_raw"": -0.051391584138144486, ""PantheonPlusSH0ES"": -0.15498821568343468, ""Union3p1_UNITY1p8"": -0.031146849498620933}",True
z<0.5,released_total_primary,FLAT_LCDM,2337,3,1,Omega_m,0.34551390499857665,,2106.372378565064,2137.3988719032195,0.0,"{""DES_Dovekie_raw"": -0.06861445112984829, ""PantheonPlusSH0ES"": -0.17254082565905104, ""Union3p1_UNITY1p8"": -0.052099267693513064}",True
z>=0.5,released_total_primary,PETER_NOLOSS_LCONST,1085,3,0,s_fixed,0.0,,962.031300220972,982.9993060188956,26.586202302179117,"{""DES_Dovekie_raw"": 0.01597292634195351, ""PantheonPlusSH0ES"": -0.12799916890294438, ""Union3p1_UNITY1p8"": -0.008367710488552123}",True
z>=0.5,released_total_primary,PETER_NOLOSS_PARTICLECOUNT,1085,3,0,s_fixed,-0.5,,1116.791125517594,1137.7591313155178,181.34602759880136,"{""DES_Dovekie_raw"": 0.5516139695668418, ""PantheonPlusSH0ES"": 0.43056834986636594, ""Union3p1_UNITY1p8"": 0.609712985032879}",True
z>=0.5,released_total_primary,PETER_NOLOSS_CHANDRA,1085,3,0,s_fixed,-1.75,,4538.339021832386,4559.30702763031,3602.8939239135934,"{""DES_Dovekie_raw"": 1.8907165776290622, ""PantheonPlusSH0ES"": 1.826987146789642, ""Union3p1_UNITY1p8"": 2.1549147238364603}",True
z>=0.5,released_total_primary,STATIC_DUALITY_LCONST,1085,3,0,s_fixed,2.0,,7279.33104605903,7300.299051856954,6343.885948140238,"{""DES_Dovekie_raw"": -2.1265912465575987, ""PantheonPlusSH0ES"": -2.3622692439801853, ""Union3p1_UNITY1p8"": -2.4806904925742814}",True
z>=0.5,released_total_primary,STATIC_DUALITY_CHANDRA,1085,3,0,s_fixed,0.25,,1144.7641018360803,1165.732107634004,209.31900391728755,"{""DES_Dovekie_raw"": -0.25184759527049067, ""PantheonPlusSH0ES"": -0.4072829282875998, ""Union3p1_UNITY1p8"": -0.31740805824926804}",True
z>=0.5,released_total_primary,COMPOSITE_S_FREE,1085,3,1,s,-0.13844271866799154,0.026848488776998188,935.4423894119665,963.3997304758648,6.986626759148294,"{""DES_Dovekie_raw"": 0.16428413085037885, ""PantheonPlusSH0ES"": 0.02666004281317081, ""Union3p1_UNITY1p8"": 0.16276983319982655}",True
z>=0.5,released_total_primary,FLAT_LCDM,1085,3,1,Omega_m,0.3190469838557585,,928.4557626528183,956.4131037167165,0.0,"{""DES_Dovekie_raw"": -0.08077447970640186, ""PantheonPlusSH0ES"": -0.21235322083959302, ""Union3p1_UNITY1p8"": -0.06733361797630491}",True
