system,constraint,variable,coefficient,target
stated_phenomenology,spectroscopic_redshift,delta_Q_atomic,-1.0,-1.0
stated_phenomenology,spectroscopic_redshift,sigma_spectral,1.0,-1.0
stated_phenomenology,spectroscopic_redshift,tau_photon_distance,0.0,-1.0
stated_phenomenology,spectroscopic_redshift,ell_source,0.0,-1.0
stated_phenomenology,supernova_composite,delta_Q_atomic,0.0,0.037604901114341276
stated_phenomenology,supernova_composite,sigma_spectral,0.0,0.037604901114341276
stated_phenomenology,supernova_composite,tau_photon_distance,1.0,0.037604901114341276
stated_phenomenology,supernova_composite,ell_source,-0.5,0.037604901114341276
microscopic_closure,spectroscopic_redshift,delta_h,1.0,1.0
microscopic_closure,spectroscopic_redshift,delta_G,0.0,1.0
microscopic_closure,spectroscopic_redshift,delta_m_p,0.0,1.0
microscopic_closure,spectroscopic_redshift,delta_m_e,-1.0,1.0
microscopic_closure,spectroscopic_redshift,delta_alpha,-2.0,1.0
microscopic_closure,spectroscopic_redshift,sigma_spectral,1.0,1.0
microscopic_closure,spectroscopic_redshift,tau_photon_distance,0.0,1.0
microscopic_closure,spectroscopic_redshift,eta_Ni_luminosity,0.0,1.0
microscopic_closure,supernova_composite,delta_h,-0.75,1.7876049011143413
microscopic_closure,supernova_composite,delta_G,0.75,1.7876049011143413
microscopic_closure,supernova_composite,delta_m_p,1.0,1.7876049011143413
microscopic_closure,supernova_composite,delta_m_e,0.0,1.7876049011143413
microscopic_closure,supernova_composite,delta_alpha,0.0,1.7876049011143413
microscopic_closure,supernova_composite,sigma_spectral,0.0,1.7876049011143413
microscopic_closure,supernova_composite,tau_photon_distance,1.0,1.7876049011143413
microscopic_closure,supernova_composite,eta_Ni_luminosity,-0.5,1.7876049011143413
diffusion_control,spectroscopic_redshift,delta_h,1.0,1.0
diffusion_control,spectroscopic_redshift,delta_G,0.0,1.0
diffusion_control,spectroscopic_redshift,delta_m_p,0.0,1.0
diffusion_control,spectroscopic_redshift,delta_m_e,-1.0,1.0
diffusion_control,spectroscopic_redshift,delta_alpha,-2.0,1.0
diffusion_control,spectroscopic_redshift,sigma_spectral,1.0,1.0
diffusion_control,spectroscopic_redshift,tau_photon_distance,0.0,1.0
diffusion_control,spectroscopic_redshift,eta_Ni_luminosity,0.0,1.0
diffusion_control,spectroscopic_redshift,delta_duration_extra,0.0,1.0
diffusion_control,supernova_composite,delta_h,-0.75,1.7876049011143413
diffusion_control,supernova_composite,delta_G,0.75,1.7876049011143413
diffusion_control,supernova_composite,delta_m_p,1.0,1.7876049011143413
diffusion_control,supernova_composite,delta_m_e,0.0,1.7876049011143413
diffusion_control,supernova_composite,delta_alpha,0.0,1.7876049011143413
diffusion_control,supernova_composite,sigma_spectral,0.0,1.7876049011143413
diffusion_control,supernova_composite,tau_photon_distance,1.0,1.7876049011143413
diffusion_control,supernova_composite,eta_Ni_luminosity,-0.5,1.7876049011143413
diffusion_control,supernova_composite,delta_duration_extra,0.0,1.7876049011143413
diffusion_control,light_curve_duration,delta_h,1.75,-1.247
diffusion_control,light_curve_duration,delta_G,-0.75,-1.247
diffusion_control,light_curve_duration,delta_m_p,-1.5,-1.247
diffusion_control,light_curve_duration,delta_m_e,-1.0,-1.247
diffusion_control,light_curve_duration,delta_alpha,1.0,-1.247
diffusion_control,light_curve_duration,sigma_spectral,0.0,-1.247
diffusion_control,light_curve_duration,tau_photon_distance,0.0,-1.247
diffusion_control,light_curve_duration,eta_Ni_luminosity,0.0,-1.247
diffusion_control,light_curve_duration,delta_duration_extra,1.0,-1.247
