system,candidate_id,active_count,active_couplings,active_values_json,full_column_rank,matrix_rank,constraint_count,maximum_constraint_residual,L1_exponent_norm,L2_exponent_norm,maximum_absolute_exponent,minimum_singular_value,condition_number,maximum_active_endpoint_change_factor,h_exponent,G_exponent,m_p_exponent,m_e_exponent,alpha_exponent,atomic_Q_exponent,spectroscopic_redshift_exponent,M_Ch_exponent,source_luminosity_exponent,supernova_composite_s,opacity_exponent,diffusion_time_exponent,duration_b_predicted,me_over_mp_exponent,proton_gravity_coupling_exponent,proton_gravity_coupling_delta_exponent,alpha_endpoint_ratio,me_over_mp_endpoint_ratio,proton_gravity_endpoint_ratio_relative_to_baseline,maximum_dimensionless_endpoint_change_factor,dimensionless_drift_warning,time_dilation_evaluated,duration_tension_sigma,time_dilation_gate_pass,supernova_reference_delta_BIC_vs_flat_LCDM,supernova_gate_pass,action_level_model_supplied,promotion_gate_pass
microscopic_closure,microscopic_closure:delta_alpha+tau_photon_distance,2,delta_alpha;tau_photon_distance,"{""delta_alpha"": -0.5, ""tau_photon_distance"": 1.7876049011143413}",True,2,2,0.0,2.2876049011143413,1.8562142339956382,1.7876049011143413,1.0,2.0,8.27881760372332,0.0,0.0,-1.0,-1.0,-0.5,0.0,1.0,3.5,3.5,0.03760490111434134,0.0,0.75,1.75,0.0,-3.0,0.0,0.5536568971244162,1.0,1.0,1.8061727492130975,True,False,66.81371116769373,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:delta_m_p+delta_alpha,2,delta_m_p;delta_alpha,"{""delta_alpha"": -0.5, ""delta_m_p"": 1.7876049011143413}",True,2,2,0.0,2.2876049011143413,1.8562142339956382,1.7876049011143413,1.0,2.0,8.27881760372332,0.0,0.0,0.7876049011143413,-1.0,-0.5,0.0,1.0,-0.07520980222868268,-0.07520980222868268,0.03760490111434134,-1.7876049011143413,-1.931407351671512,-0.931407351671512,-1.7876049011143413,0.5752098022286827,3.5752098022286827,0.5536568971244162,0.12079019587896941,68.53882091571913,68.53882091571913,True,False,173.01865338051368,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:delta_m_e+tau_photon_distance,2,delta_m_e;tau_photon_distance,"{""delta_m_e"": -1.0, ""tau_photon_distance"": 1.7876049011143413}",True,2,2,0.0,2.7876049011143413,2.0482996075984623,1.7876049011143413,1.0,1.0,8.27881760372332,0.0,0.0,-1.0,-2.0,0.0,0.0,1.0,3.5,3.5,0.03760490111434134,3.0,2.25,3.25,-1.0,-3.0,0.0,1.0,0.3065359597334364,1.0,3.2622599999999995,True,False,200.9777898176811,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:delta_m_p+delta_m_e,2,delta_m_p;delta_m_e,"{""delta_m_e"": -1.0, ""delta_m_p"": 1.7876049011143413}",True,2,2,0.0,2.7876049011143413,2.0482996075984623,1.7876049011143413,1.0,1.0,8.27881760372332,0.0,0.0,0.7876049011143413,-2.0,0.0,0.0,1.0,-0.07520980222868268,-0.07520980222868268,0.03760490111434134,1.2123950988856587,-0.431407351671512,0.568592648328488,-2.7876049011143413,0.5752098022286827,3.5752098022286827,1.0,0.037026538620149665,68.53882091571913,68.53882091571913,True,False,38.8545747305263,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:delta_m_p+sigma_spectral,2,delta_m_p;sigma_spectral,"{""delta_m_p"": 1.7876049011143413, ""sigma_spectral"": 1.0}",True,2,2,0.0,2.7876049011143413,2.0482996075984623,1.7876049011143413,1.0,1.0,8.27881760372332,0.0,0.0,0.7876049011143413,-1.0,0.0,1.0,1.0,-0.07520980222868268,-0.07520980222868268,0.03760490111434134,-0.7876049011143413,-1.431407351671512,-0.431407351671512,-1.7876049011143413,0.5752098022286827,3.5752098022286827,1.0,0.12079019587896941,68.53882091571913,68.53882091571913,True,False,128.29729383051787,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:sigma_spectral+tau_photon_distance,2,sigma_spectral;tau_photon_distance,"{""sigma_spectral"": 1.0, ""tau_photon_distance"": 1.7876049011143413}",True,2,2,0.0,2.7876049011143413,2.0482996075984623,1.7876049011143413,1.0,1.0,8.27881760372332,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,3.5,3.5,0.03760490111434134,1.0,1.25,2.25,0.0,-3.0,0.0,1.0,1.0,1.0,1.0,False,False,111.53507071768952,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:delta_G+delta_alpha,2,delta_G;delta_alpha,"{""delta_G"": 2.3834732014857885, ""delta_alpha"": -0.5}",True,2,2,0.0,2.8834732014857885,2.4353530549390396,2.3834732014857885,0.75,2.6666666666666665,16.747799485205423,0.0,2.3834732014857885,-1.0,-1.0,-0.5,0.0,1.0,-0.07520980222868268,-0.07520980222868268,0.03760490111434134,0.0,-1.0376049011143413,-0.03760490111434134,0.0,-0.6165267985142115,2.3834732014857885,0.5536568971244162,1.0,16.747799485205423,16.747799485205423,True,False,93.07453186444455,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:delta_G+delta_m_e,2,delta_G;delta_m_e,"{""delta_G"": 2.3834732014857885, ""delta_m_e"": -1.0}",True,2,2,0.0,3.3834732014857885,2.584752309642244,2.3834732014857885,0.75,1.3333333333333333,16.747799485205423,0.0,2.3834732014857885,-1.0,-2.0,0.0,0.0,1.0,-0.07520980222868268,-0.07520980222868268,0.03760490111434134,3.0,0.46239509888565866,1.4623950988856587,-1.0,-0.6165267985142115,2.3834732014857885,1.0,0.3065359597334364,16.747799485205423,16.747799485205423,True,False,41.08954678554284,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:delta_G+sigma_spectral,2,delta_G;sigma_spectral,"{""delta_G"": 2.3834732014857885, ""sigma_spectral"": 1.0}",True,2,2,0.0,3.3834732014857885,2.584752309642244,2.3834732014857885,0.75,1.3333333333333333,16.747799485205423,0.0,2.3834732014857885,-1.0,-1.0,0.0,1.0,1.0,-0.07520980222868268,-0.07520980222868268,0.03760490111434134,1.0,-0.5376049011143413,0.46239509888565866,0.0,-0.6165267985142115,2.3834732014857885,1.0,1.0,16.747799485205423,16.747799485205423,True,False,48.35317231444875,False,83.76092105304724,False,False,False
microscopic_closure,microscopic_closure:delta_h+delta_alpha,2,delta_h;delta_alpha,"{""delta_alpha"": -1.691736600742895, ""delta_h"": -2.3834732014857893}",True,2,2,6.661338147750939e-16,4.0752098022286845,2.922826924142797,2.3834732014857893,0.6626969591608471,3.415555160212644,16.74779948520544,-2.3834732014857893,0.0,-1.0,-1.0,-1.691736600742895,-8.881784197001252e-16,1.0000000000000009,-0.07520980222868401,-0.07520980222868401,0.037604901114342004,-7.150419604457369,-4.612814703343027,-3.6128147033430267,0.0,-0.6165267985142107,2.3834732014857893,0.13528879797980445,1.0,16.74779948520544,16.74779948520544,True,False,412.8510179287213,False,83.76092105304724,False,False,False
