model,z,kinds,N,chi2_contribution
PLAMB_stationary_path_fixed_sn,0.295,DV_over_rd,1,4577.320742994177
PLAMB_stationary_path_fixed_sn,0.51,DM_over_rd+DH_over_rd,2,5243.590081106656
PLAMB_stationary_path_fixed_sn,0.706,DM_over_rd+DH_over_rd,2,4991.782501202251
PLAMB_stationary_path_fixed_sn,0.934,DM_over_rd+DH_over_rd,2,6546.78437626153
PLAMB_stationary_path_fixed_sn,1.321,DM_over_rd+DH_over_rd,2,1267.1000558828996
PLAMB_stationary_path_fixed_sn,1.484,DM_over_rd+DH_over_rd,2,231.09540204040937
PLAMB_stationary_path_fixed_sn,2.33,DH_over_rd+DM_over_rd,2,10600.378510772602
PLAMB_stationary_path_sn_gaussian_prior,0.295,DV_over_rd,1,86.98486361004069
PLAMB_stationary_path_sn_gaussian_prior,0.51,DM_over_rd+DH_over_rd,2,85.22150266073108
PLAMB_stationary_path_sn_gaussian_prior,0.706,DM_over_rd+DH_over_rd,2,35.83223319275535
PLAMB_stationary_path_sn_gaussian_prior,0.934,DM_over_rd+DH_over_rd,2,37.991847504139145
PLAMB_stationary_path_sn_gaussian_prior,1.321,DM_over_rd+DH_over_rd,2,17.956464880555448
PLAMB_stationary_path_sn_gaussian_prior,1.484,DM_over_rd+DH_over_rd,2,6.795664281496266
PLAMB_stationary_path_sn_gaussian_prior,2.33,DH_over_rd+DM_over_rd,2,424.8649649358968
PLAMB_stationary_path_free_bao,0.295,DV_over_rd,1,1.9164508981035768
PLAMB_stationary_path_free_bao,0.51,DM_over_rd+DH_over_rd,2,6.966175154109117
PLAMB_stationary_path_free_bao,0.706,DM_over_rd+DH_over_rd,2,1.4162489075988698
PLAMB_stationary_path_free_bao,0.934,DM_over_rd+DH_over_rd,2,2.0892853827172013
PLAMB_stationary_path_free_bao,1.321,DM_over_rd+DH_over_rd,2,0.020478257254655474
PLAMB_stationary_path_free_bao,1.484,DM_over_rd+DH_over_rd,2,0.8691854638864475
PLAMB_stationary_path_free_bao,2.33,DH_over_rd+DM_over_rd,2,19.856278819603435
PLAMB_metric_duality_control_fixed_sn,0.295,DV_over_rd,1,5.407482337855652
PLAMB_metric_duality_control_fixed_sn,0.51,DM_over_rd+DH_over_rd,2,15.686762125120275
PLAMB_metric_duality_control_fixed_sn,0.706,DM_over_rd+DH_over_rd,2,3.2546634690561445
PLAMB_metric_duality_control_fixed_sn,0.934,DM_over_rd+DH_over_rd,2,12.7744022429169
PLAMB_metric_duality_control_fixed_sn,1.321,DM_over_rd+DH_over_rd,2,0.9064064211692664
PLAMB_metric_duality_control_fixed_sn,1.484,DM_over_rd+DH_over_rd,2,1.7383144782496631
PLAMB_metric_duality_control_fixed_sn,2.33,DH_over_rd+DM_over_rd,2,136.30224388484456
PLAMB_metric_duality_control_sn_gaussian_prior,0.295,DV_over_rd,1,2.2167728083206306
PLAMB_metric_duality_control_sn_gaussian_prior,0.51,DM_over_rd+DH_over_rd,2,0.8123278261315166
PLAMB_metric_duality_control_sn_gaussian_prior,0.706,DM_over_rd+DH_over_rd,2,1.1626550468809724
PLAMB_metric_duality_control_sn_gaussian_prior,0.934,DM_over_rd+DH_over_rd,2,9.578114118050191
PLAMB_metric_duality_control_sn_gaussian_prior,1.321,DM_over_rd+DH_over_rd,2,3.0570848390739425
PLAMB_metric_duality_control_sn_gaussian_prior,1.484,DM_over_rd+DH_over_rd,2,1.454518211246994
PLAMB_metric_duality_control_sn_gaussian_prior,2.33,DH_over_rd+DM_over_rd,2,8.13158780928968
PLAMB_metric_duality_control_free_bao,0.295,DV_over_rd,1,3.2869477195340453
PLAMB_metric_duality_control_free_bao,0.51,DM_over_rd+DH_over_rd,2,0.5854528602101644
PLAMB_metric_duality_control_free_bao,0.706,DM_over_rd+DH_over_rd,2,1.716970648752138
PLAMB_metric_duality_control_free_bao,0.934,DM_over_rd+DH_over_rd,2,10.105518894435523
PLAMB_metric_duality_control_free_bao,1.321,DM_over_rd+DH_over_rd,2,3.7525439317661236
PLAMB_metric_duality_control_free_bao,1.484,DM_over_rd+DH_over_rd,2,1.5711812797122315
PLAMB_metric_duality_control_free_bao,2.33,DH_over_rd+DM_over_rd,2,4.448302221677071
LCDM_flat_Omega_m_free,0.295,DV_over_rd,1,0.26564047614906483
LCDM_flat_Omega_m_free,0.51,DM_over_rd+DH_over_rd,2,4.2079655547587755
LCDM_flat_Omega_m_free,0.706,DM_over_rd+DH_over_rd,2,3.828730038895063
LCDM_flat_Omega_m_free,0.934,DM_over_rd+DH_over_rd,2,0.8221272265608808
LCDM_flat_Omega_m_free,1.321,DM_over_rd+DH_over_rd,2,0.4133112676529215
LCDM_flat_Omega_m_free,1.484,DM_over_rd+DH_over_rd,2,0.6625148143485381
LCDM_flat_Omega_m_free,2.33,DH_over_rd+DM_over_rd,2,0.07075204707997385
