candidate,z,N,conditional_chi2,conditional_p
plamb_baseline,0.295,1,306.7394698171213,1.1207820967598298e-68
plamb_baseline,0.51,2,281.44558615574925,7.67127388090719e-62
plamb_baseline,0.706,2,161.3080369037499,9.384363961364612e-36
plamb_baseline,0.934,2,166.57456296148095,6.742069734399361e-37
plamb_baseline,1.321,2,62.695829275185254,2.4309367194383853e-14
plamb_baseline,1.484,2,19.71722377064446,5.229489062176522e-05
plamb_baseline,2.33,2,1326.3791800236509,9.559179179133042e-289
common_conformal_power,0.295,1,611.7408890082352,4.678461147171919e-135
common_conformal_power,0.51,2,507.94600050807384,5.0225866418616995e-111
common_conformal_power,0.706,2,245.31017709427323,5.389790277137124e-54
common_conformal_power,0.934,2,146.84337509631166,1.2982736594084736e-32
common_conformal_power,1.321,2,20.235027204762503,4.036636769981099e-05
common_conformal_power,1.484,2,15.880257194082194,0.0003561606741531068
common_conformal_power,2.33,2,1625.8297151835286,0.0
scalar_ruler_power,0.295,1,35.93948076301203,2.035422874833958e-09
scalar_ruler_power,0.51,2,142.9802110641375,8.958631166684714e-32
scalar_ruler_power,0.706,2,245.95009149479063,3.9139585326001377e-54
scalar_ruler_power,0.934,2,691.2081603679027,8.054805405799106e-151
scalar_ruler_power,1.321,2,504.8103253566618,2.4089658584037108e-110
scalar_ruler_power,1.484,2,139.96688221917978,4.041826821164631e-31
scalar_ruler_power,2.33,2,1020.5912677353148,2.4067006316735284e-222
spatial_curvature,0.295,1,353.05609451424203,9.154610491092453e-79
spatial_curvature,0.51,2,337.9967274162194,4.0266435923668536e-74
spatial_curvature,0.706,2,171.91866524301017,4.659466293415755e-38
spatial_curvature,0.934,2,124.31701949394429,1.0113517110540692e-27
spatial_curvature,1.321,2,26.23485575943695,2.0098953946334325e-06
spatial_curvature,1.484,2,15.478390015245825,0.00043542194538395023
spatial_curvature,2.33,2,1327.8350828180326,4.616101262566512e-289
redshift_remap,0.295,1,453.2540469953161,1.4123766182497906e-100
redshift_remap,0.51,2,236.7389622854477,3.915502575450995e-52
redshift_remap,0.706,2,120.02069010499875,8.666391148929045e-27
redshift_remap,0.934,2,174.2136790499774,1.4790411538309296e-38
redshift_remap,1.321,2,125.333152671439,6.084875512361472e-28
redshift_remap,1.484,2,21.500519939166114,2.1439833887353052e-05
redshift_remap,2.33,2,68.33461120485637,1.4498654985110618e-15
clock_quadratic,0.295,1,388.88832912814837,1.445074471843207e-86
clock_quadratic,0.51,2,243.93035007692245,1.0744779226072304e-53
clock_quadratic,0.706,2,113.96300767131636,1.79162582402536e-25
clock_quadratic,0.934,2,129.83652020276165,6.402622009475132e-29
clock_quadratic,1.321,2,128.17246382259387,1.4713063689986731e-28
clock_quadratic,1.484,2,28.298132322567042,7.163720648679075e-07
clock_quadratic,2.33,2,299.43750012002266,9.505457217229976e-66
transverse_focusing,0.295,1,473.77280818153025,4.839327082943917e-105
transverse_focusing,0.51,2,345.7420591633927,8.376561313688817e-76
transverse_focusing,0.706,2,157.7545713000516,5.546641473990463e-35
transverse_focusing,0.934,2,304.8213508502708,6.439982388874301e-67
transverse_focusing,1.321,2,223.04004670767281,3.693764777613565e-49
transverse_focusing,1.484,2,51.52005569859043,6.4947442092744535e-12
transverse_focusing,2.33,2,790.9637641816898,1.7555003291642873e-172
anisotropic_ruler,0.295,1,609.2093104527934,1.6623630934759413e-134
anisotropic_ruler,0.51,2,492.88000666043126,9.385694920246819e-108
anisotropic_ruler,0.706,2,220.72815619520622,1.1735183417161488e-48
anisotropic_ruler,0.934,2,168.7322149176524,2.2922663071373573e-37
anisotropic_ruler,1.321,2,84.36322545872558,4.794665940096933e-19
anisotropic_ruler,1.484,2,31.842341553860223,1.2176525599377908e-07
anisotropic_ruler,2.33,2,1406.8409175171982,3.223860961339051e-306
radial_closure_slip,0.295,1,487.23842961859464,5.68462480604481e-108
radial_closure_slip,0.51,2,394.4403738923257,2.2302887275420955e-86
radial_closure_slip,0.706,2,178.29633481323447,1.9206260875502612e-39
radial_closure_slip,0.934,2,235.89027048619755,5.985199025995359e-52
radial_closure_slip,1.321,2,176.9958998721343,3.679837857325026e-39
radial_closure_slip,1.484,2,48.756765944271535,2.5858468369172264e-11
radial_closure_slip,2.33,2,1206.5631584770692,9.95724292880611e-263
lcdm_control,0.295,1,0.03768855458809129,0.8460698615658663
lcdm_control,0.51,2,3.018461231137442,0.22108000805800224
lcdm_control,0.706,2,4.525072065826677,0.1040861837705551
lcdm_control,0.934,2,1.8829048271941682,0.39006089399538296
lcdm_control,1.321,2,1.1378741181071352,0.5661268784354134
lcdm_control,1.484,2,0.8345194786947494,0.6588497685088113
lcdm_control,2.33,2,1.442657102855051,0.48610600993605824
