candidate,theta_name,SN_invisible_BAO_parameters,conditional_parameters,conditional_optimisation_success,bao_chi2_after_SN_training,bao_p_after_SN_training,sn_chi2_at_bao_fit,delta_sn_chi2_at_bao_fit,sn_bao_theta_tension_sigma
plamb_baseline,,[],"{""p"": 0.7974288977143246}",True,33561.79711696162,0.0,14932.424718840768,11884.75024317964,
common_conformal_power,s_conformal,[],"{""p"": 0.7678604720851119, ""s_conformal"": -0.01777583846028693}",True,34052.59939490737,0.0,15946.771702938851,12899.110792151117,
scalar_ruler_power,b_ruler,"[""b_ruler""]","{""b_ruler"": 1.6634571692936535, ""p"": 0.7974288977143246}",True,4156.107178597336,0.0,14932.424718840768,11884.75024317964,
spatial_curvature,omega_k,[],"{""omega_k"": 0.0, ""p"": 0.8004694772058842}",True,33458.051670260524,0.0,15060.416007732343,12012.69755658248,
redshift_remap,nu_redshift,[],"{""nu_redshift"": 1.5059791152922406, ""p"": 1.325347316866768}",True,30758.835238145668,0.0,16076.988067708066,13030.827981583854,
clock_quadratic,gamma_2,[],"{""gamma_2"": 0.37384169285782276, ""p"": 0.8706596077231136}",True,33732.160410037424,0.0,15445.31988508688,12398.319928657726,
transverse_focusing,f_focus,[],"{""f_focus"": -0.0059616792764757365, ""p"": 0.7901313452064006}",True,33867.29570185092,0.0,14582.75992973282,11535.094094806282,
anisotropic_ruler,e_anisotropy,"[""e_anisotropy""]","{""e_anisotropy"": 1.0471550081944505, ""p"": 0.7974288977143246}",True,15986.834113005723,0.0,14932.424718840768,11884.75024317964,
radial_closure_slip,h_radial,"[""h_radial""]","{""h_radial"": -1.2230021586446178, ""p"": 0.7974288977143246}",True,8173.8675391834395,0.0,14932.424718840768,11884.75024317964,
lcdm_control,omega_m,[],"{""omega_m"": 0.33067964259081406}",True,23.446666057362037,0.024164541175381308,3058.1054092278623,10.44289204192819,2.439760515946768
