candidate,label,mode,symmetry_class,active_parameters,parameters,p,theta_name,theta_value,sn_chi2_at_fit,bao_chi2_at_fit,selected_chi2,N,N_parameters,BIC,goodness_upper_tail,bao_q_c0_over_H0rd,offsets,optimisation_success,optimisation_message,parameter_at_boundary,all_candidate_parameters_active
plamb_baseline,PLAMB static closure,sn,homogeneous_isotropic,"[""p""]","{""p"": 0.7974288977143246}",0.7974288977143246,,,3047.6744756611283,33561.79711696162,3047.6744756611283,3422,4,3080.226397478937,0.9999982888873055,7.561337341356025,"{""DES_Dovekie_raw"": -0.06610570858759922, ""PantheonPlusSH0ES"": -0.17520717273559486, ""Union3p1_UNITY1p8"": -0.059608929322766034}",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,True
plamb_baseline,PLAMB static closure,bao,homogeneous_isotropic,"[""p""]","{""p"": 2.5}",2.5,,,14932.424718840768,33.13410288327331,33.13410288327331,13,2,38.26400159819638,0.0005004694394605127,28.76296238308825,"{""DES_Dovekie_raw"": 0.6223095766583693, ""PantheonPlusSH0ES"": 0.18512451312659253, ""Union3p1_UNITY1p8"": 0.8688932069275888}",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,True,True
plamb_baseline,PLAMB static closure,joint,homogeneous_isotropic,"[""p""]","{""p"": 2.0690531813752138}",2.0690531813752138,,,9943.144986956979,2324.859888907582,12268.00487586456,3435,5,12308.713736887843,0.0,22.496202311346412,"{""DES_Dovekie_raw"": 0.4552523255835899, ""PantheonPlusSH0ES"": 0.09690019293496989, ""Union3p1_UNITY1p8"": 0.6473400186851285}",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,True
common_conformal_power,Common conformal power,sn,homogeneous_isotropic,"[""p"", ""s_conformal""]","{""p"": 0.7678604720851119, ""s_conformal"": -0.01777583846028693}",0.7678604720851119,s_conformal,-0.01777583846028693,3047.6609107877343,34052.59939490737,3047.6609107877343,3422,5,3088.350813059995,0.9999981853145478,7.474999893595547,"{""DES_Dovekie_raw"": -0.06546204562851227, ""PantheonPlusSH0ES"": -0.17468848391222283, ""Union3p1_UNITY1p8"": -0.059413263314547674}",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,True
common_conformal_power,Common conformal power,bao,homogeneous_isotropic,"[""p"", ""s_conformal""]","{""p"": 2.5, ""s_conformal"": -0.03962467941009914}",2.5,s_conformal,-0.03962467941009914,15946.771702938851,16.76363058901575,16.76363058901575,13,3,24.458478661400363,0.07976061155431312,29.580118084148012,"{""DES_Dovekie_raw"": 0.6518747970077303, ""PantheonPlusSH0ES"": 0.2008436540356796, ""Union3p1_UNITY1p8"": 0.9080071039665402}",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True
common_conformal_power,Common conformal power,joint,homogeneous_isotropic,"[""p"", ""s_conformal""]","{""p"": 2.5, ""s_conformal"": 0.49825580794398416}",2.5,s_conformal,0.49825580794398416,5725.7936746614705,3173.7854412892675,8899.579115950739,3435,6,8948.429749178678,0.0,19.553744016700488,"{""DES_Dovekie_raw"": 0.2505452375768439, ""PantheonPlusSH0ES"": -0.01253395049863718, ""Union3p1_UNITY1p8"": 0.3770601710238629}",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True
scalar_ruler_power,Scalar ruler evolution,sn,homogeneous_isotropic,"[""p""]","{""b_ruler"": 0.0, ""p"": 0.7974288977143246}",0.7974288977143246,b_ruler,0.0,3047.6744756611283,33561.79711696162,3047.6744756611283,3422,4,3080.226397478937,0.9999982888873055,7.561337341356025,"{""DES_Dovekie_raw"": -0.06610570858759922, ""PantheonPlusSH0ES"": -0.17520717273559486, ""Union3p1_UNITY1p8"": -0.059608929322766034}",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,False
scalar_ruler_power,Scalar ruler evolution,bao,homogeneous_isotropic,"[""p"", ""b_ruler""]","{""b_ruler"": 0.039624670403343096, ""p"": 2.5}",2.5,b_ruler,0.039624670403343096,14932.424718840768,16.763630589015907,16.763630589015907,13,3,24.45847866140052,0.07976061155430955,29.58011789705534,"{""DES_Dovekie_raw"": 0.6223095766583693, ""PantheonPlusSH0ES"": 0.18512451312659253, ""Union3p1_UNITY1p8"": 0.8688932069275888}",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,True,True
scalar_ruler_power,Scalar ruler evolution,joint,homogeneous_isotropic,"[""p"", ""b_ruler""]","{""b_ruler"": 1.2769143355407677, ""p"": 1.175931896783825}",1.175931896783825,b_ruler,1.2769143355407677,3708.1550077852553,2781.4464190009994,6489.601426786255,3435,6,6538.452060014193,2.720038703666491e-192,33.938079127609534,"{""DES_Dovekie_raw"": 0.09346266339225817, ""PantheonPlusSH0ES"": -0.09239608907982749, ""Union3p1_UNITY1p8"": 0.15892137714408996}",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,False,True
spatial_curvature,Spatial-curvature completion,sn,homogeneous_isotropic,"[""p"", ""omega_k""]","{""omega_k"": 0.0, ""p"": 0.8004694772058842}",0.8004694772058842,omega_k,0.0,3047.7184511498626,33458.051670260524,3047.7184511498626,3422,5,3088.408353422123,0.9999981787154265,7.586099599961065,"{""DES_Dovekie_raw"": -0.06480928493548732, ""PantheonPlusSH0ES"": -0.17453589328678037, ""Union3p1_UNITY1p8"": -0.05782695896218981}",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,False,True
