candidate,mode,active_parameters,hessian_available,positive_definite,condition_number,maximum_absolute_correlation,sigma_p,sigma_s_conformal,sigma_b_ruler,sigma_omega_k,sigma_nu_redshift,sigma_gamma_2,sigma_f_focus,sigma_e_anisotropy,sigma_h_radial,sigma_omega_m
plamb_baseline,sn,"[""p""]",True,True,1.0,0.0,0.014497585133704468,,,,,,,,,
plamb_baseline,bao,"[""p""]",False,False,,,,,,,,,,,,
plamb_baseline,joint,"[""p""]",True,True,1.0,0.0,0.008015500253818753,,,,,,,,,
common_conformal_power,sn,"[""p"", ""s_conformal""]",True,True,1559.5461221998478,0.9983559785596265,0.2523164397731843,0.1516273942307894,,,,,,,,
common_conformal_power,bao,"[""p"", ""s_conformal""]",False,False,,,,,,,,,,,,
common_conformal_power,joint,"[""p"", ""s_conformal""]",False,False,,,,,,,,,,,,
scalar_ruler_power,sn,"[""p""]",True,True,1.0,0.0,0.014497585133704468,,,,,,,,,
scalar_ruler_power,bao,"[""p"", ""b_ruler""]",False,False,,,,,,,,,,,,
scalar_ruler_power,joint,"[""p"", ""b_ruler""]",True,True,11.612751708616734,0.8350693807057117,0.014239713925198088,,0.017218707266096204,,,,,,,
spatial_curvature,sn,"[""p"", ""omega_k""]",True,True,6.128180180382117,0.7150012309765703,0.020744569214817307,,,0.01850176293420166,,,,,,
spatial_curvature,bao,"[""p"", ""omega_k""]",False,False,,,,,,,,,,,,
spatial_curvature,joint,"[""p"", ""omega_k""]",True,True,35.775460614819366,0.7622235307394504,0.010611254546980187,,,0.0393727214372848,,,,,,
redshift_remap,sn,"[""p"", ""nu_redshift""]",True,True,978.2553725994759,0.9979502286348643,0.20486795558479198,,,,0.21756657721946487,,,,,
redshift_remap,bao,"[""p"", ""nu_redshift""]",False,False,,,,,,,,,,,,
redshift_remap,joint,"[""p"", ""nu_redshift""]",False,False,,,,,,,,,,,,
clock_quadratic,sn,"[""p"", ""gamma_2""]",True,True,1188.9411668669009,0.9880401026916059,0.09391077022078502,,,,,0.48141232253423616,,,,
clock_quadratic,bao,"[""p"", ""gamma_2""]",False,False,,,,,,,,,,,,
clock_quadratic,joint,"[""p"", ""gamma_2""]",False,False,,,,,,,,,,,,
transverse_focusing,sn,"[""p"", ""f_focus""]",True,True,125.12310455185381,0.9833658505920533,0.07976761330459294,,,,,,0.06410288844001161,,,
transverse_focusing,bao,"[""p"", ""f_focus""]",False,False,,,,,,,,,,,,
transverse_focusing,joint,"[""p"", ""f_focus""]",True,True,2.0651468249982634,0.34605199910567325,0.009703947165534422,,,,,,0.010037763087209486,,,
anisotropic_ruler,sn,"[""p""]",True,True,1.0,0.0,0.014497585133704468,,,,,,,,,
anisotropic_ruler,bao,"[""p"", ""e_anisotropy""]",False,False,,,,,,,,,,,,
anisotropic_ruler,joint,"[""p"", ""e_anisotropy""]",True,True,3.5931311925714327,0.5598506155569348,0.010273465913925913,,,,,,,0.011219811220586719,,
radial_closure_slip,sn,"[""p""]",True,True,1.0,0.0,0.014497585133704468,,,,,,,,,
radial_closure_slip,bao,"[""p"", ""h_radial""]",False,False,,,,,,,,,,,,
radial_closure_slip,joint,"[""p"", ""h_radial""]",True,True,4.674123326634399,0.6462743840845109,0.011413201916447832,,,,,,,,0.012030943272283757,
lcdm_control,sn,"[""omega_m""]",True,True,1.0,2.220446049250313e-16,,,,,,,,,,0.010542371231152148
lcdm_control,bao,"[""omega_m""]",True,True,1.0,2.220446049250313e-16,,,,,,,,,,0.008615779602212433
lcdm_control,joint,"[""omega_m""]",True,True,1.0,0.0,,,,,,,,,,0.006856395198141518
