held_z,kind,observed,predicted_from_training,raw_residual_observed_minus_predicted,conditional_residual,conditional_sigma_marginal,conditional_marginal_pull,cholesky_whitened_component
0.295,DV_over_rd,7.94167639,8.030828238785928,-0.08915184878592797,-0.08915184878592797,0.07609196324185624,-1.171632916114429,-1.171632916114429
0.51,DM_over_rd,13.58758434,13.240198059691924,0.3473862803080756,0.3473862803080756,0.16836678472905517,2.0632708575334986,2.0632708575334977
0.51,DH_over_rd,21.86294686,22.687213094920942,-0.8242662349209411,-0.8242662349209411,0.42886832478046216,-1.9219564311327568,-1.109856342188623
0.706,DM_over_rd,17.35069094,17.379061645331337,-0.02837070533133712,-0.02837070533133712,0.17993122074837373,-0.1576752784388228,-0.1576752784388228
0.706,DH_over_rd,19.45534918,20.069133813774044,-0.6137846337740456,-0.6137846337740456,0.33387003159912393,-1.8383939128475408,-2.0692115157844215
0.934,DM_over_rd,21.57563956,21.543522807678183,0.03211675232181577,0.03211675232181577,0.1617815860968114,0.19851920788189606,0.19851920788189606
0.934,DH_over_rd,17.64149464,17.289843615399292,0.3516510246007094,0.3516510246007094,0.20104324858099562,1.749131229637077,1.9386915918412735
1.321,DM_over_rd,27.60085612,27.678761211587666,-0.07790509158766667,-0.07790509158766667,0.32455587500459765,-0.24003599252844546,-0.24003599252844546
1.321,DH_over_rd,14.17602155,13.881496865687959,0.2945246843120408,0.2945246843120408,0.22455135092000672,1.3116139497952124,1.325717431831039
1.484,DM_over_rd,30.51190063,29.878461145851606,0.6334394841483935,0.6334394841483935,0.763557644844186,0.8295896039095453,0.8295896039095453
1.484,DH_over_rd,12.81699964,12.775396572680897,0.04160306731910346,0.04160306731910346,0.5180117691713191,0.08031297703072904,0.5631246339801917
2.33,DH_over_rd,8.631545674846294,8.807545661528003,-0.17599998668170969,-0.17599998668170969,0.10106245296844917,-1.7414972772989725,-1.7414972772989727
2.33,DM_over_rd,38.988973961958784,40.08532087125966,-1.0963469093008769,-1.0963469093008769,0.5316820280957407,-2.062034921939201,-3.115693524617116
