model,theta,chi2,posterior_weight
PATH_GAMMA2P3,0.61129932883666,2170.678078718971,3.586872347647995e-17
PATH_GAMMA2P3,0.6115357322743606,2170.515611816369,3.890408098316867e-17
PATH_GAMMA2P3,0.6117721357120612,2170.353351335723,4.219194791092642e-17
PATH_GAMMA2P3,0.6120085391497617,2170.191297268985,4.575295722392012e-17
PATH_GAMMA2P3,0.6122449425874623,2170.0294496080883,4.9609396376092955e-17
PATH_GAMMA2P3,0.6124813460251629,2169.8678083449945,5.378533736844497e-17
PATH_GAMMA2P3,0.6127177494628635,2169.706373471634,5.830677682006144e-17
PATH_GAMMA2P3,0.6129541529005641,2169.5451449799657,6.320178680072212e-17
PATH_GAMMA2P3,0.6131905563382646,2169.3841228619226,6.850067724023277e-17
PATH_GAMMA2P3,0.6134269597759652,2169.22330710946,7.42361707766398e-17
PATH_GAMMA2P3,0.6136633632136658,2169.062697714512,8.044359098118452e-17
PATH_GAMMA2P3,0.6138997666513664,2168.902294669039,8.71610649538388e-17
PATH_GAMMA2P3,0.614136170089067,2168.742097964978,9.442974136937537e-17
PATH_GAMMA2P3,0.6143725735267674,2168.582107594277,1.0229402511825228e-16
PATH_GAMMA2P3,0.614608976964468,2168.4223235488844,1.1080182978225971e-16
PATH_GAMMA2P3,0.6148453804021686,2168.262745820733,1.2000484926807197e-16
PATH_GAMMA2P3,0.6150817838398692,2168.1033744017905,1.299588500154566e-16
PATH_GAMMA2P3,0.6153181872775698,2167.944209283984,1.4072398531409892e-16
PATH_GAMMA2P3,0.6155545907152703,2167.7852504592734,1.5236513334661241e-16
PATH_GAMMA2P3,0.6157909941529709,2167.626497919591,1.6495226072602943e-16
PATH_GAMMA2P3,0.6160273975906715,2167.4679516568954,1.7856081338884726e-16
PATH_GAMMA2P3,0.6162638010283721,2167.309611663123,1.9327213687071633e-16
PATH_GAMMA2P3,0.6165002044660726,2167.1514779302292,2.0917392810701423e-16
PATH_GAMMA2P3,0.6167366079037732,2166.993550450148,2.2636072108245567e-16
PATH_GAMMA2P3,0.6169730113414738,2166.835829214839,2.449344087906677e-16
PATH_GAMMA2P3,0.6172094147791743,2166.67831421624,2.6500480417373924e-16
PATH_GAMMA2P3,0.6174458182168749,2166.521005446298,2.866902428650566e-16
PATH_GAMMA2P3,0.6176822216545754,2166.3639028969637,3.1011823079113447e-16
PATH_GAMMA2P3,0.617918625092276,2166.2070065601824,3.35426139887308e-16
PATH_GAMMA2P3,0.6181550285299766,2166.0503164278975,3.627619554163259e-16
PATH_GAMMA2P3,0.6183914319676772,2165.893832492055,3.922850786261518e-16
PATH_GAMMA2P3,0.6186278354053778,2165.7375547446018,4.241671887490873e-16
PATH_GAMMA2P3,0.6188642388430783,2165.581483177498,4.585931686199075e-16
PATH_GAMMA2P3,0.6191006422807789,2165.4256177826564,4.957620985155027e-16
PATH_GAMMA2P3,0.6193370457184795,2165.269958552064,5.358883230626281e-16
PATH_GAMMA2P3,0.6195734491561801,2165.114505477638,5.792025965645408e-16
PATH_GAMMA2P3,0.6198098525938807,2164.959258551347,6.259533122358352e-16
PATH_GAMMA2P3,0.6200462560315811,2164.8042177651228,6.764078214704938e-16
PATH_GAMMA2P3,0.6202826594692817,2164.649383110909,7.308538494770733e-16
PATH_GAMMA2P3,0.6205190629069823,2164.494754580667,7.896010141995884e-16
PATH_GAMMA2P3,0.6207554663446829,2164.340332166335,8.529824558812868e-16
PATH_GAMMA2P3,0.6209918697823835,2164.1861158598635,9.213565850839907e-16
PATH_GAMMA2P3,0.621228273220084,2164.032105653196,9.951089576122331e-16
PATH_GAMMA2P3,0.6214646766577846,2163.878301538279,1.07465428528983e-15
PATH_GAMMA2P3,0.6217010800954852,2163.724703507066,1.1604385922027774e-15
PATH_GAMMA2P3,0.6219374835331858,2163.5713115514936,1.2529415266817504e-15
PATH_GAMMA2P3,0.6221738869708864,2163.4181256635225,1.352678839937512e-15
PATH_GAMMA2P3,0.6224102904085869,2163.2651458350874,1.4602050431505677e-15
PATH_GAMMA2P3,0.6226466938462875,2163.1123720581368,1.5761162554267323e-15
PATH_GAMMA2P3,0.622883097283988,2162.9598043246237,1.701053256067584e-15
PATH_GAMMA2P3,0.6231195007216886,2162.8074426264943,1.8357047554155922e-15
PATH_GAMMA2P3,0.6233559041593892,2162.655286955701,1.980810899498148e-15
PATH_GAMMA2P3,0.6235923075970897,2162.503337304172,2.1371670248179866e-15
PATH_GAMMA2P3,0.6238287110347903,2162.351593663883,2.305627680537318e-15
PATH_GAMMA2P3,0.6240651144724909,2162.2000560267506,2.487110936901346e-15
PATH_GAMMA2P3,0.6243015179101915,2162.0487243847447,2.6826029993067744e-15
PATH_GAMMA2P3,0.6245379213478921,2161.8975987298095,2.893163149602601e-15
PATH_GAMMA2P3,0.6247743247855926,2161.746679053882,3.1199290368900843e-15
PATH_GAMMA2P3,0.6250107282232932,2161.5959653489226,3.3641223419738245e-15
PATH_GAMMA2P3,0.6252471316609938,2161.4454576068724,3.627054841308268e-15
PATH_GAMMA2P3,0.6254835350986944,2161.295155819676,3.910134897647333e-15
PATH_GAMMA2P3,0.6257199385363948,2161.145059979287,4.21487440675697e-15
PATH_GAMMA2P3,0.6259563419740954,2160.9951700776537,4.542896231401438e-15
PATH_GAMMA2P3,0.626192745411796,2160.8454861067225,4.895942155795233e-15
PATH_GAMMA2P3,0.6264291488494966,2160.696008058436,5.275881396031186e-15
PATH_GAMMA2P3,0.6266655522871972,2160.5467359247473,5.684719704239058e-15
PATH_GAMMA2P3,0.6269019557248977,2160.3976696976065,6.124609106908166e-15
PATH_GAMMA2P3,0.6271383591625983,2160.248809368953,6.597858320254144e-15
PATH_GAMMA2P3,0.6273747626002989,2160.1001549307452,7.106943888323106e-15
PATH_GAMMA2P3,0.6276111660379995,2159.951706374919,7.654522092967942e-15
PATH_GAMMA2P3,0.6278475694757001,2159.803463693445,8.24344168713531e-15
PATH_GAMMA2P3,0.6280839729134006,2159.655426878236,8.8767575077552e-15
PATH_GAMMA2P3,0.6283203763511012,2159.5075959212777,9.557745025804711e-15
PATH_GAMMA2P3,0.6285567797888018,2159.359970814488,1.0289915898396243e-14
PATH_GAMMA2P3,0.6287931832265024,2159.2125515498415,1.1077034587561925e-14
PATH_GAMMA2P3,0.6290295866642029,2159.0653381192556,1.1923136119294263e-14
PATH_GAMMA2P3,0.6292659901019034,2158.9183305147108,1.2832545056391769e-14
PATH_GAMMA2P3,0.629502393539604,2158.7715287281326,1.3809895768447664e-14
PATH_GAMMA2P3,0.6297387969773046,2158.6249327514897,1.4860154082396162e-14
PATH_GAMMA2P3,0.6299752004150052,2158.478542576704,1.5988640407626532e-14
PATH_GAMMA2P3,0.6302116038527058,2158.332358195745,1.7201054430592485e-14
PATH_GAMMA2P3,0.6304480072904063,2158.1863796005546,1.850350148509957e-14
PATH_GAMMA2P3,0.6306844107281069,2158.040606783073,1.9902520706572445e-14
PATH_GAMMA2P3,0.6309208141658075,2157.895039735269,2.1405115088267022e-14
PATH_GAMMA2P3,0.6311572176035081,2157.7496784490736,2.3018783565255922e-14
PATH_GAMMA2P3,0.6313936210412087,2157.6045229164483,2.475155525665191e-14
PATH_GAMMA2P3,0.6316300244789091,2157.459573129324,2.6612026009932855e-14
PATH_GAMMA2P3,0.6318664279166097,2157.314829079672,2.860939739446364e-14
PATH_GAMMA2P3,0.6321028313543103,2157.170290759427,3.0753518307256576e-14
PATH_GAMMA2P3,0.6323392347920109,2157.0259581605346,3.305492935705646e-14
PATH_GAMMA2P3,0.6325756382297115,2156.881831274954,3.5524910209149066e-14
PATH_GAMMA2P3,0.632812041667412,2156.7379100946364,3.817553008242553e-14
PATH_GAMMA2P3,0.6330484451051126,2156.5941946115154,4.10197016017221e-14
PATH_GAMMA2P3,0.6332848485428132,2156.4506848175506,4.407123822080687e-14
PATH_GAMMA2P3,0.6335212519805138,2156.3073807046894,4.7344915448393084e-14
PATH_GAMMA2P3,0.6337576554182144,2156.164282264885,5.085653611866959e-14
PATH_GAMMA2P3,0.6339940588559149,2156.0213894900726,5.462299996764963e-14
PATH_GAMMA2P3,0.6342304622936155,2155.878702372222,5.86623777876987e-14
