model,theta,posterior_weight,high_z_chi2,high_z_logpdf,PantheonPlusSH0ES_chi2,PantheonPlusSH0ES_logpdf,DES_Dovekie_raw_chi2,DES_Dovekie_raw_logpdf,Union3p1_UNITY1p8_chi2,Union3p1_UNITY1p8_logpdf
PATH_GAMMA2P3,0.61129932883666,3.586872347647995e-17,1044.342455415382,160.56577091701257,174.3431989228775,81.05896718525969,840.732334992412,66.0692747696396,29.266921500092472,13.437528962113284
PATH_GAMMA2P3,0.6115357322743606,3.890408098316867e-17,1044.076914456282,160.69854139656255,174.2612378553564,81.09994771902024,840.5983360455041,66.13627424309357,29.21734055542153,13.462319434448755
PATH_GAMMA2P3,0.6117721357120612,4.219194791092642e-17,1043.8117231733763,160.83113703801536,174.17937358096918,81.14087985621381,840.4645248002453,66.20317986572297,29.16782479216191,13.487077316078565
PATH_GAMMA2P3,0.6120085391497617,4.575295722392012e-17,1043.546881543852,160.96355785277765,174.09760609312679,81.18176360013501,840.3309012450884,66.26999164330141,29.118374205636567,13.511802609341235
PATH_GAMMA2P3,0.6122449425874623,4.9609396376092955e-17,1043.2823895448792,161.095803852264,174.01593538524133,81.22259895407774,840.1974653684812,66.33670958160508,29.068988791156695,13.53649531658117
PATH_GAMMA2P3,0.6124813460251629,5.378533736844497e-17,1043.0182471536505,161.22787504787837,173.9343614507285,81.26338592133419,840.0642171588781,66.40333368640654,29.019668544043753,13.561155440137643
PATH_GAMMA2P3,0.6127177494628635,5.830677682006144e-17,1042.7544543473412,161.35977145103303,173.85288428299995,81.30412450519844,839.9311566047293,66.46986396348098,28.97041345961181,13.585782982353617
PATH_GAMMA2P3,0.6129541529005641,6.320178680072212e-17,1042.4910111031388,161.49149307313414,173.7715038754684,81.34481470896424,839.7982836944884,66.5363004186014,28.921223533182047,13.610377945568498
PATH_GAMMA2P3,0.6131905563382646,6.850067724023277e-17,1042.2279173982183,161.62303992559438,173.6902202215448,81.38545653592604,839.6655984166034,66.6026430575439,28.872098760070138,13.634940332124451
PATH_GAMMA2P3,0.6134269597759652,7.42361707766398e-17,1041.9651732097661,161.75441201982053,173.60903331464405,81.4260499893764,839.5331007595279,66.66889188608172,28.823039135594215,13.659470144362412
PATH_GAMMA2P3,0.6136633632136658,8.044359098118452e-17,1041.7027785149605,161.88560936722328,173.5279431481764,81.46659507261023,839.4007907117148,66.73504690998823,28.77404465506939,13.683967384624825
PATH_GAMMA2P3,0.6138997666513664,8.71610649538388e-17,1041.4407332909834,162.0166319792118,173.44694971555458,81.50709178892112,839.2686682616127,66.80110813503927,28.725115313816183,13.708432055251428
PATH_GAMMA2P3,0.614136170089067,9.442974136937537e-17,1041.1790375150147,162.14747986719624,173.36605301019188,81.5475401416025,839.1367333976746,66.86707556700833,28.67625110714822,13.73286415858541
PATH_GAMMA2P3,0.6143725735267674,1.0229402511825228e-16,1040.9176911642369,162.2781530425851,173.28525302549951,81.58794013394868,839.0049861083534,66.93294921166887,28.627452030383907,13.757263696967566
PATH_GAMMA2P3,0.614608976964468,1.1080182978225971e-16,1040.6566942158279,162.40865151678975,173.2045497548907,81.62829176925311,838.8734263820971,66.9987290747971,28.578718078839984,13.781630672739528
PATH_GAMMA2P3,0.6148453804021686,1.2000484926807197e-16,1040.3960466469737,162.53897530121668,173.12394319177744,81.6685950508097,838.74205420736,67.06441516216557,28.530049247836203,13.805965088241418
PATH_GAMMA2P3,0.6150817838398692,1.299588500154566e-16,1040.135748434848,162.6691244072796,173.0434333295703,81.70884998191332,838.6108695725914,67.13000747954993,28.481445532686323,13.830266945816359
