dataset,group,N,budget_sigma_mag,PATH_residual_mode_mag,LCDM_residual_mode_mag,delta_mode_PATH_minus_LCDM_mag,abs_delta_over_budget,within_budget
PantheonPlusSH0ES,IDSURVEY_1,321,0.008075982502836906,-0.0037330434906289386,-0.0038003518887582775,6.730839812933882e-05,0.008334391277556004,True
PantheonPlusSH0ES,IDSURVEY_4,160,0.018936388261509243,-0.0016150240795402783,-0.004594353486439978,0.0029793294068997,0.15733356148783598,True
PantheonPlusSH0ES,IDSURVEY_5,74,0.019312110579827364,0.0136834588259579,0.015815595406464794,-0.002132136580506894,0.11040412034166976,True
PantheonPlusSH0ES,IDSURVEY_10,203,0.006936932607242753,-0.023817142200514455,-0.026955149044072497,0.0031380068435580416,0.4523623078421856,True
PantheonPlusSH0ES,IDSURVEY_15,269,0.006371219705925663,0.012929689870986687,0.010362759487928565,0.002566930383058122,0.4028946577796876,True
PantheonPlusSH0ES,IDSURVEY_50,27,0.02708800827015334,-0.0003496472185225947,0.0018869778588586706,-0.0022366250773812654,0.08256882732296228,True
PantheonPlusSH0ES,IDSURVEY_51,38,0.009605405550494663,0.013669443383786709,0.015931676229546124,-0.002262232845759415,0.23551664048613893,True
PantheonPlusSH0ES,IDSURVEY_56,36,0.04456361497142021,-0.02689512735336493,-0.024523181300671413,-0.002371946052693516,0.05322606916460224,True
PantheonPlusSH0ES,IDSURVEY_57,85,0.0038350553877342657,0.010192946354229782,0.01250157477839952,-0.0023086284241697376,0.6019804646247013,True
PantheonPlusSH0ES,IDSURVEY_63,28,0.005608021996594319,0.009824584949299366,0.012087859235923162,-0.0022632742866237968,0.4035779973755907,True
PantheonPlusSH0ES,IDSURVEY_64,53,0.0032152294240378886,-0.013066842763336422,-0.01086547124752474,-0.002201371515811682,0.684670120070953,True
PantheonPlusSH0ES,IDSURVEY_65,35,0.005972385432563947,-0.0015697093562253058,0.000636896176298208,-0.002206605532523514,0.3694680387659136,True
PantheonPlusSH0ES,IDSURVEY_150,173,0.015025722885243507,0.008747689046199958,0.010787033067677821,-0.002039344021477863,0.13572352139414645,True
DES_Dovekie_raw,IDSURVEY_10,1623,0.011766741997148049,-0.002223734589774499,-0.002974668443898707,0.0007509338541242081,0.06381833257720912,True
DES_Dovekie_raw,IDSURVEY_64,31,0.012457391087084598,0.02360476327823604,0.02732178311461059,-0.0037170198363745514,0.29837867418549874,True
DES_Dovekie_raw,IDSURVEY_65,22,0.023063874479079774,0.00776160387547524,0.011550131997570783,-0.003788528122095543,0.16426243238238009,True
DES_Dovekie_raw,IDSURVEY_150,117,0.019676396618983773,0.03678559392026469,0.04047843293832854,-0.0036928390180638523,0.1876786227464537,True
